LSOA21CD,All categories: Age_weighted,Age under 1_weighted,Age 1_weighted,Age 2_weighted,Age 3_weighted,Age 4_weighted,Age 5_weighted,Age 6_weighted,Age 7_weighted,Age 8_weighted,Age 9_weighted,Age 10_weighted,Age 11_weighted,Age 12_weighted,Age 13_weighted,Age 14_weighted,Age 15_weighted,Age 16_weighted,Age 17_weighted,Age 18_weighted,Age 19_weighted,Age 20_weighted,Age 21_weighted,Age 22_weighted,Age 23_weighted,Age 24_weighted,Age 25_weighted,Age 26_weighted,Age 27_weighted,Age 28_weighted,Age 29_weighted,Age 30_weighted,Age 31_weighted,Age 32_weighted,Age 33_weighted,Age 34_weighted,Age 35_weighted,Age 36_weighted,Age 37_weighted,Age 38_weighted,Age 39_weighted,Age 40_weighted,Age 41_weighted,Age 42_weighted,Age 43_weighted,Age 44_weighted,Age 45_weighted,Age 46_weighted,Age 47_weighted,Age 48_weighted,Age 49_weighted,Age 50_weighted,Age 51_weighted,Age 52_weighted,Age 53_weighted,Age 54_weighted,Age 55_weighted,Age 56_weighted,Age 57_weighted,Age 58_weighted,Age 59_weighted,Age 60_weighted,Age 61_weighted,Age 62_weighted,Age 63_weighted,Age 64_weighted,Age 65_weighted,Age 66_weighted,Age 67_weighted,Age 68_weighted,Age 69_weighted,Age 70_weighted,Age 71_weighted,Age 72_weighted,Age 73_weighted,Age 74_weighted,Age 75_weighted,Age 76_weighted,Age 77_weighted,Age 78_weighted,Age 79_weighted,Age 80_weighted,Age 81_weighted,Age 82_weighted,Age 83_weighted,Age 84_weighted,Age 85_weighted,Age 86_weighted,Age 87_weighted,Age 88_weighted,Age 89_weighted,Age 90_weighted,Age 91_weighted,Age 92_weighted,Age 93_weighted,Age 94_weighted,Age 95_weighted,Age 96_weighted,Age 97_weighted,Age 98_weighted,Age 99_weighted,Age 100 and over_weighted
E01000001,1465.0,11.0,13.0,5.0,8.0,13.0,5.0,10.0,4.0,10.0,4.0,4.0,6.0,3.0,10.0,3.0,6.0,3.0,4.0,2.0,4.0,9.0,4.0,22.0,18.0,10.0,31.0,30.0,21.0,35.0,23.0,25.0,45.0,26.0,27.0,28.0,29.0,32.0,19.0,18.0,23.0,20.0,20.0,26.0,26.0,15.0,26.0,18.0,23.0,25.0,27.0,23.0,24.0,22.0,18.0,15.0,25.0,26.0,22.0,27.0,38.0,26.0,20.0,19.0,38.0,25.0,20.0,17.0,14.0,15.0,6.0,16.0,13.0,18.0,7.0,13.0,11.0,13.0,8.0,14.0,14.0,12.0,6.0,10.0,9.0,6.0,6.0,5.0,5.0,1.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000002,1436.0,19.0,16.0,11.0,6.0,8.0,9.0,16.0,8.0,8.0,5.0,4.0,5.0,6.0,13.0,2.0,7.0,9.0,2.0,6.0,4.0,4.0,6.0,12.0,10.0,8.0,13.0,15.0,24.0,22.0,18.0,23.0,26.0,14.0,27.0,22.0,22.0,26.0,14.0,29.0,34.0,33.0,25.0,39.0,34.0,25.0,30.0,33.0,18.0,23.0,26.0,30.0,20.0,25.0,32.0,24.0,22.0,22.0,19.0,17.0,22.0,17.0,25.0,25.0,22.0,26.0,18.0,22.0,22.0,18.0,14.0,16.0,20.0,17.0,17.0,8.0,13.0,7.0,5.0,5.0,8.0,5.0,9.0,6.0,4.0,2.0,6.0,5.0,2.0,1.0,4.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
E01000003,1346.0,19.0,5.0,14.0,6.0,9.0,4.0,3.0,7.0,6.0,2.0,8.0,4.0,3.0,5.0,4.0,5.0,10.0,23.0,17.0,17.0,15.0,11.0,13.0,18.0,20.0,17.0,28.0,27.0,37.0,35.0,23.0,27.0,24.0,33.0,28.0,17.0,24.0,23.0,26.0,25.0,31.0,13.0,27.0,26.0,15.0,22.0,21.0,17.0,22.0,25.0,13.0,14.0,16.0,19.0,17.0,17.0,19.0,16.0,12.0,14.0,13.0,21.0,13.0,14.0,13.0,19.0,11.0,8.0,17.0,15.0,9.0,10.0,10.0,11.0,4.0,11.0,8.0,7.0,10.0,7.0,7.0,8.0,11.0,20.0,12.0,11.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
E01000005,985.0,10.0,7.0,6.0,11.0,8.0,11.0,12.0,15.0,12.0,10.0,10.0,8.0,11.0,8.0,12.0,13.0,7.0,11.0,10.0,7.0,18.0,9.0,19.0,25.0,26.0,21.0,18.0,25.0,27.0,31.0,15.0,19.0,14.0,16.0,16.0,8.0,15.0,11.0,11.0,7.0,14.0,14.0,21.0,21.0,10.0,16.0,12.0,21.0,12.0,15.0,16.0,10.0,7.0,14.0,9.0,6.0,18.0,14.0,11.0,4.0,6.0,8.0,9.0,12.0,8.0,2.0,14.0,8.0,5.0,7.0,6.0,9.0,11.0,4.0,13.0,11.0,4.0,3.0,6.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
E01000006,1703.0,30.0,35.0,43.0,33.0,13.0,24.0,29.0,23.0,19.0,27.0,15.0,22.0,20.0,22.0,21.0,18.0,18.0,16.0,16.0,15.0,15.0,19.0,30.0,39.0,26.0,50.0,35.0,41.0,43.0,47.0,41.0,43.0,35.0,30.0,40.0,31.0,28.0,44.0,28.0,25.0,27.0,31.0,25.0,18.0,22.0,24.0,16.0,14.0,14.0,19.0,19.0,25.0,18.0,11.0,15.0,13.0,12.0,17.0,11.0,15.0,11.0,10.0,15.0,9.0,10.0,14.0,6.0,4.0,8.0,6.0,5.0,5.0,9.0,12.0,6.0,6.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,3.0,5.0,2.0,5.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000007,1391.0,44.0,51.0,22.0,35.0,19.0,23.0,21.0,16.0,10.0,13.0,8.0,11.0,10.0,22.0,14.0,14.0,14.0,24.0,38.0,51.0,24.0,29.0,23.0,23.0,30.0,25.0,34.0,26.0,38.0,36.0,53.0,36.0,25.0,28.0,30.0,24.0,27.0,39.0,32.0,39.0,13.0,20.0,17.0,16.0,18.0,11.0,19.0,6.0,11.0,11.0,9.0,7.0,9.0,14.0,7.0,6.0,5.0,3.0,9.0,5.0,10.0,7.0,8.0,4.0,7.0,4.0,2.0,2.0,6.0,1.0,5.0,3.0,2.0,5.0,4.0,4.0,3.0,2.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
E01000008,1544.0,30.0,27.0,35.0,33.0,50.0,39.0,33.0,28.0,28.0,32.0,36.0,24.0,31.0,30.0,25.0,21.0,24.0,19.0,24.0,12.0,25.0,21.0,31.0,25.0,25.0,37.0,33.0,35.0,41.0,55.0,28.0,21.0,25.0,27.0,30.0,37.0,31.0,18.0,28.0,27.0,25.0,22.0,25.0,22.0,15.0,25.0,21.0,15.0,20.0,14.0,13.0,12.0,15.0,6.0,10.0,12.0,8.0,4.0,7.0,9.0,3.0,6.0,5.0,3.0,6.0,2.0,1.0,5.0,2.0,2.0,4.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,6.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000009,1773.0,30.0,35.0,40.0,27.0,24.0,23.0,11.0,18.0,16.0,12.0,11.0,18.0,9.0,13.0,10.0,14.0,13.0,21.0,17.0,18.0,30.0,29.0,23.0,39.0,53.0,59.0,46.0,56.0,53.0,66.0,49.0,34.0,40.0,36.0,43.0,31.0,35.0,25.0,23.0,20.0,19.0,18.0,22.0,23.0,13.0,20.0,17.0,25.0,13.0,18.0,18.0,22.0,17.0,15.0,20.0,13.0,15.0,16.0,18.0,15.0,12.0,15.0,17.0,12.0,9.0,8.0,5.0,7.0,12.0,13.0,11.0,11.0,13.0,7.0,9.0,5.0,8.0,8.0,6.0,9.0,6.0,9.0,3.0,5.0,4.0,3.0,5.0,1.0,1.0,3.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
E01000011,1634.0,34.0,26.0,37.0,20.0,30.0,26.0,19.0,31.0,20.0,14.0,27.0,13.0,14.0,17.0,12.0,25.0,18.0,18.0,20.0,19.0,40.0,34.0,29.0,48.0,47.0,52.0,39.0,51.0,44.0,50.0,38.0,34.0,43.0,28.0,35.0,24.0,23.0,28.0,26.0,22.0,22.0,29.0,15.0,11.0,20.0,20.0,19.0,11.0,16.0,16.0,14.0,15.0,9.0,18.0,26.0,15.0,13.0,12.0,9.0,10.0,13.0,12.0,7.0,9.0,8.0,6.0,9.0,6.0,6.0,6.0,1.0,9.0,7.0,8.0,2.0,5.0,4.0,1.0,4.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
E01000012,1901.0,59.0,53.0,69.0,59.0,51.0,37.0,36.0,32.0,34.0,23.0,26.0,19.0,21.0,14.0,23.0,13.0,19.0,16.0,17.0,17.0,22.0,22.0,38.0,35.0,35.0,49.0,44.0,54.0,57.0,54.0,73.0,46.0,40.0,49.0,40.0,45.0,43.0,38.0,32.0,32.0,44.0,29.0,21.0,23.0,14.0,26.0,21.0,15.0,23.0,11.0,14.0,11.0,11.0,14.0,7.0,9.0,4.0,4.0,10.0,8.0,10.0,9.0,9.0,6.0,8.0,7.0,3.0,7.0,3.0,6.0,7.0,2.0,2.0,4.0,5.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
