LSOA11CD,Borough,All categories: Age,Age under 1,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20,Age 21,Age 22,Age 23,Age 24,Age 25,Age 26,Age 27,Age 28,Age 29,Age 30,Age 31,Age 32,Age 33,Age 34,Age 35,Age 36,Age 37,Age 38,Age 39,Age 40,Age 41,Age 42,Age 43,Age 44,Age 45,Age 46,Age 47,Age 48,Age 49,Age 50,Age 51,Age 52,Age 53,Age 54,Age 55,Age 56,Age 57,Age 58,Age 59,Age 60,Age 61,Age 62,Age 63,Age 64,Age 65,Age 66,Age 67,Age 68,Age 69,Age 70,Age 71,Age 72,Age 73,Age 74,Age 75,Age 76,Age 77,Age 78,Age 79,Age 80,Age 81,Age 82,Age 83,Age 84,Age 85,Age 86,Age 87,Age 88,Age 89,Age 90,Age 91,Age 92,Age 93,Age 94,Age 95,Age 96,Age 97,Age 98,Age 99,Age 100 and over
E01000001,City of London ,1465,11.0,13.0,5.0,8.0,13.0,5.0,10.0,4.0,10.0,4.0,4.0,6.0,3.0,10.0,3.0,6.0,3.0,4.0,2.0,4.0,9.0,4.0,22.0,18.0,10.0,31.0,30.0,21.0,35.0,23.0,25.0,45.0,26.0,27.0,28.0,29.0,32.0,19.0,18.0,23.0,20.0,20.0,26.0,26.0,15.0,26.0,18.0,23.0,25.0,27.0,23.0,24.0,22.0,18.0,15.0,25.0,26.0,22.0,27.0,38.0,26.0,20.0,19.0,38.0,25.0,20.0,17.0,14.0,15.0,6.0,16.0,13.0,18.0,7.0,13.0,11.0,13.0,8.0,14.0,14.0,12.0,6.0,10.0,9.0,6.0,6.0,5.0,5.0,1.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000002,City of London ,1436,19.0,16.0,11.0,6.0,8.0,9.0,16.0,8.0,8.0,5.0,4.0,5.0,6.0,13.0,2.0,7.0,9.0,2.0,6.0,4.0,4.0,6.0,12.0,10.0,8.0,13.0,15.0,24.0,22.0,18.0,23.0,26.0,14.0,27.0,22.0,22.0,26.0,14.0,29.0,34.0,33.0,25.0,39.0,34.0,25.0,30.0,33.0,18.0,23.0,26.0,30.0,20.0,25.0,32.0,24.0,22.0,22.0,19.0,17.0,22.0,17.0,25.0,25.0,22.0,26.0,18.0,22.0,22.0,18.0,14.0,16.0,20.0,17.0,17.0,8.0,13.0,7.0,5.0,5.0,8.0,5.0,9.0,6.0,4.0,2.0,6.0,5.0,2.0,1.0,4.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
E01000003,City of London ,1346,19.0,5.0,14.0,6.0,9.0,4.0,3.0,7.0,6.0,2.0,8.0,4.0,3.0,5.0,4.0,5.0,10.0,23.0,17.0,17.0,15.0,11.0,13.0,18.0,20.0,17.0,28.0,27.0,37.0,35.0,23.0,27.0,24.0,33.0,28.0,17.0,24.0,23.0,26.0,25.0,31.0,13.0,27.0,26.0,15.0,22.0,21.0,17.0,22.0,25.0,13.0,14.0,16.0,19.0,17.0,17.0,19.0,16.0,12.0,14.0,13.0,21.0,13.0,14.0,13.0,19.0,11.0,8.0,17.0,15.0,9.0,10.0,10.0,11.0,4.0,11.0,8.0,7.0,10.0,7.0,7.0,8.0,11.0,20.0,12.0,11.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
E01000005,City of London ,985,10.0,7.0,6.0,11.0,8.0,11.0,12.0,15.0,12.0,10.0,10.0,8.0,11.0,8.0,12.0,13.0,7.0,11.0,10.0,7.0,18.0,9.0,19.0,25.0,26.0,21.0,18.0,25.0,27.0,31.0,15.0,19.0,14.0,16.0,16.0,8.0,15.0,11.0,11.0,7.0,14.0,14.0,21.0,21.0,10.0,16.0,12.0,21.0,12.0,15.0,16.0,10.0,7.0,14.0,9.0,6.0,18.0,14.0,11.0,4.0,6.0,8.0,9.0,12.0,8.0,2.0,14.0,8.0,5.0,7.0,6.0,9.0,11.0,4.0,13.0,11.0,4.0,3.0,6.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
E01000006,Barking and Dagenham ,1703,30.0,35.0,43.0,33.0,13.0,24.0,29.0,23.0,19.0,27.0,15.0,22.0,20.0,22.0,21.0,18.0,18.0,16.0,16.0,15.0,15.0,19.0,30.0,39.0,26.0,50.0,35.0,41.0,43.0,47.0,41.0,43.0,35.0,30.0,40.0,31.0,28.0,44.0,28.0,25.0,27.0,31.0,25.0,18.0,22.0,24.0,16.0,14.0,14.0,19.0,19.0,25.0,18.0,11.0,15.0,13.0,12.0,17.0,11.0,15.0,11.0,10.0,15.0,9.0,10.0,14.0,6.0,4.0,8.0,6.0,5.0,5.0,9.0,12.0,6.0,6.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,3.0,5.0,2.0,5.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000007,Barking and Dagenham ,1391,44.0,51.0,22.0,35.0,19.0,23.0,21.0,16.0,10.0,13.0,8.0,11.0,10.0,22.0,14.0,14.0,14.0,24.0,38.0,51.0,24.0,29.0,23.0,23.0,30.0,25.0,34.0,26.0,38.0,36.0,53.0,36.0,25.0,28.0,30.0,24.0,27.0,39.0,32.0,39.0,13.0,20.0,17.0,16.0,18.0,11.0,19.0,6.0,11.0,11.0,9.0,7.0,9.0,14.0,7.0,6.0,5.0,3.0,9.0,5.0,10.0,7.0,8.0,4.0,7.0,4.0,2.0,2.0,6.0,1.0,5.0,3.0,2.0,5.0,4.0,4.0,3.0,2.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
E01000008,Barking and Dagenham ,1544,30.0,27.0,35.0,33.0,50.0,39.0,33.0,28.0,28.0,32.0,36.0,24.0,31.0,30.0,25.0,21.0,24.0,19.0,24.0,12.0,25.0,21.0,31.0,25.0,25.0,37.0,33.0,35.0,41.0,55.0,28.0,21.0,25.0,27.0,30.0,37.0,31.0,18.0,28.0,27.0,25.0,22.0,25.0,22.0,15.0,25.0,21.0,15.0,20.0,14.0,13.0,12.0,15.0,6.0,10.0,12.0,8.0,4.0,7.0,9.0,3.0,6.0,5.0,3.0,6.0,2.0,1.0,5.0,2.0,2.0,4.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,6.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000009,Barking and Dagenham ,1773,30.0,35.0,40.0,27.0,24.0,23.0,11.0,18.0,16.0,12.0,11.0,18.0,9.0,13.0,10.0,14.0,13.0,21.0,17.0,18.0,30.0,29.0,23.0,39.0,53.0,59.0,46.0,56.0,53.0,66.0,49.0,34.0,40.0,36.0,43.0,31.0,35.0,25.0,23.0,20.0,19.0,18.0,22.0,23.0,13.0,20.0,17.0,25.0,13.0,18.0,18.0,22.0,17.0,15.0,20.0,13.0,15.0,16.0,18.0,15.0,12.0,15.0,17.0,12.0,9.0,8.0,5.0,7.0,12.0,13.0,11.0,11.0,13.0,7.0,9.0,5.0,8.0,8.0,6.0,9.0,6.0,9.0,3.0,5.0,4.0,3.0,5.0,1.0,1.0,3.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
E01000010,Barking and Dagenham ,2840,79.0,64.0,58.0,61.0,56.0,59.0,43.0,34.0,37.0,32.0,27.0,17.0,23.0,20.0,18.0,23.0,18.0,27.0,18.0,28.0,37.0,41.0,63.0,89.0,99.0,97.0,81.0,116.0,135.0,103.0,100.0,108.0,106.0,78.0,71.0,59.0,49.0,52.0,46.0,42.0,39.0,29.0,37.0,20.0,28.0,27.0,18.0,21.0,18.0,22.0,9.0,18.0,19.0,14.0,20.0,12.0,6.0,18.0,9.0,7.0,10.0,18.0,6.0,7.0,10.0,8.0,3.0,3.0,7.0,5.0,5.0,5.0,7.0,7.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000011,Barking and Dagenham ,1634,34.0,26.0,37.0,20.0,30.0,26.0,19.0,31.0,20.0,14.0,27.0,13.0,14.0,17.0,12.0,25.0,18.0,18.0,20.0,19.0,40.0,34.0,29.0,48.0,47.0,52.0,39.0,51.0,44.0,50.0,38.0,34.0,43.0,28.0,35.0,24.0,23.0,28.0,26.0,22.0,22.0,29.0,15.0,11.0,20.0,20.0,19.0,11.0,16.0,16.0,14.0,15.0,9.0,18.0,26.0,15.0,13.0,12.0,9.0,10.0,13.0,12.0,7.0,9.0,8.0,6.0,9.0,6.0,6.0,6.0,1.0,9.0,7.0,8.0,2.0,5.0,4.0,1.0,4.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
E01000012,Barking and Dagenham ,1901,59.0,53.0,69.0,59.0,51.0,37.0,36.0,32.0,34.0,23.0,26.0,19.0,21.0,14.0,23.0,13.0,19.0,16.0,17.0,17.0,22.0,22.0,38.0,35.0,35.0,49.0,44.0,54.0,57.0,54.0,73.0,46.0,40.0,49.0,40.0,45.0,43.0,38.0,32.0,32.0,44.0,29.0,21.0,23.0,14.0,26.0,21.0,15.0,23.0,11.0,14.0,11.0,11.0,14.0,7.0,9.0,4.0,4.0,10.0,8.0,10.0,9.0,9.0,6.0,8.0,7.0,3.0,7.0,3.0,6.0,7.0,2.0,2.0,4.0,5.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
