LSOA21CD,All categories: Car or van availability_weighted,No cars or vans in household_weighted,1 car or van in household_weighted,2 cars or vans in household_weighted,3 cars or vans in household_weighted,4 or more cars or vans in household_weighted,sum of All cars or vans in the area_weighted
E01000001,876.0,519.0,285.0,53.0,15.0,4.0,452.0
E01000002,830.0,481.0,293.0,38.0,13.0,5.0,441.0
E01000003,817.0,655.0,148.0,11.0,2.0,1.0,180.0
E01000005,467.0,356.0,100.0,9.0,2.0,0.0,124.0
E01000006,543.0,186.0,249.0,87.0,14.0,7.0,496.0
E01000007,612.0,385.0,185.0,38.0,3.0,1.0,274.0
E01000008,521.0,305.0,174.0,34.0,4.0,4.0,270.0
E01000009,638.0,336.0,237.0,50.0,12.0,3.0,385.0
E01000011,457.0,186.0,188.0,69.0,13.0,1.0,369.0
E01000012,698.0,369.0,282.0,41.0,3.0,3.0,386.0
E01000013,650.0,282.0,282.0,71.0,12.0,3.0,474.0
E01000014,638.0,229.0,303.0,83.0,19.0,4.0,545.0
E01000015,836.0,353.0,376.0,90.0,13.0,4.0,612.0
E01000016,626.0,218.0,299.0,83.0,22.0,4.0,547.0
E01000017,609.0,228.0,254.0,107.0,14.0,6.0,534.0
E01000018,612.0,225.0,278.0,89.0,13.0,7.0,525.0
E01000019,504.0,189.0,206.0,90.0,13.0,6.0,450.0
E01000020,650.0,218.0,304.0,97.0,23.0,8.0,599.0
E01000021,593.0,241.0,260.0,72.0,16.0,4.0,468.0
E01000022,474.0,162.0,216.0,76.0,19.0,1.0,429.0
E01000024,456.0,149.0,211.0,77.0,10.0,9.0,434.0
E01000025,629.0,223.0,299.0,86.0,19.0,2.0,536.0
E01000027,641.0,221.0,273.0,123.0,18.0,6.0,598.0
E01000028,612.0,267.0,252.0,81.0,9.0,3.0,453.0
E01000029,690.0,186.0,341.0,134.0,23.0,6.0,704.0
E01000030,770.0,346.0,320.0,86.0,16.0,2.0,550.0
E01000031,598.0,153.0,263.0,135.0,39.0,8.0,684.0
E01000032,631.0,187.0,302.0,110.0,24.0,8.0,630.0
E01000033,533.0,204.0,252.0,64.0,12.0,1.0,420.0
E01000034,517.0,161.0,250.0,84.0,16.0,6.0,496.0
E01000035,567.0,166.0,297.0,76.0,20.0,8.0,541.0
E01000036,469.0,119.0,226.0,91.0,30.0,3.0,511.0
E01000037,579.0,84.0,266.0,165.0,51.0,13.0,804.0
E01000038,563.0,150.0,246.0,124.0,34.0,9.0,636.0
E01000039,659.0,161.0,323.0,142.0,27.0,6.0,714.0
E01000040,640.0,303.0,253.0,71.0,10.0,3.0,442.0
E01000041,607.0,197.0,284.0,95.0,26.0,5.0,572.0
E01000042,679.0,370.0,235.0,65.0,7.0,2.0,394.0
E01000043,461.0,169.0,202.0,71.0,18.0,1.0,403.0
E01000044,629.0,260.0,275.0,68.0,24.0,2.0,491.0
E01000045,602.0,249.0,270.0,58.0,21.0,4.0,473.0
E01000046,654.0,252.0,274.0,104.0,20.0,4.0,569.0
E01000049,643.0,347.0,257.0,33.0,5.0,1.0,343.0
E01000050,615.0,293.0,264.0,50.0,7.0,1.0,389.0
E01000051,725.0,440.0,254.0,27.0,3.0,1.0,321.0
E01000052,769.0,336.0,349.0,73.0,9.0,2.0,530.0
E01000053,645.0,295.0,269.0,66.0,11.0,4.0,451.0
E01000054,638.0,210.0,303.0,111.0,12.0,2.0,569.0
E01000055,560.0,190.0,264.0,80.0,20.0,6.0,509.0
E01000056,573.0,198.0,270.0,90.0,11.0,4.0,505.0
E01000057,537.0,202.0,263.0,58.0,12.0,2.0,423.0
E01000058,690.0,254.0,337.0,82.0,16.0,1.0,553.0
E01000059,578.0,207.0,251.0,97.0,18.0,5.0,522.0
E01000060,770.0,322.0,339.0,94.0,10.0,5.0,577.0
E01000061,668.0,421.0,194.0,47.0,5.0,1.0,307.0
E01000062,761.0,274.0,348.0,116.0,19.0,4.0,654.0
E01000063,635.0,241.0,279.0,99.0,14.0,2.0,527.0
E01000064,709.0,275.0,311.0,98.0,17.0,8.0,591.0
E01000065,774.0,368.0,300.0,87.0,15.0,4.0,535.0
E01000066,683.0,218.0,306.0,122.0,26.0,11.0,673.0
E01000067,679.0,200.0,297.0,143.0,27.0,12.0,716.0
E01000068,462.0,116.0,195.0,122.0,24.0,5.0,532.0
E01000069,513.0,81.0,229.0,147.0,47.0,9.0,706.0
E01000070,598.0,153.0,256.0,138.0,38.0,13.0,700.0
E01000071,785.0,221.0,375.0,147.0,26.0,16.0,891.0
E01000072,784.0,353.0,324.0,95.0,10.0,2.0,552.0
E01000073,627.0,221.0,297.0,94.0,12.0,3.0,534.0
E01000074,629.0,254.0,274.0,83.0,16.0,2.0,496.0
E01000075,622.0,200.0,289.0,105.0,23.0,5.0,589.0
E01000076,710.0,280.0,291.0,110.0,25.0,4.0,602.0
E01000077,560.0,221.0,255.0,75.0,6.0,3.0,438.0
E01000078,649.0,256.0,280.0,97.0,13.0,3.0,527.0
E01000079,609.0,257.0,242.0,86.0,20.0,4.0,495.0
E01000080,594.0,237.0,267.0,71.0,11.0,8.0,480.0
E01000081,648.0,203.0,320.0,107.0,15.0,3.0,592.0
E01000082,672.0,246.0,315.0,94.0,11.0,6.0,560.0
E01000083,629.0,236.0,294.0,77.0,19.0,3.0,518.0
E01000084,517.0,218.0,225.0,66.0,8.0,0.0,381.0
E01000085,640.0,297.0,253.0,72.0,16.0,2.0,453.0
E01000086,508.0,186.0,236.0,62.0,20.0,4.0,438.0
E01000087,503.0,195.0,213.0,79.0,15.0,1.0,420.0
E01000088,640.0,228.0,304.0,87.0,18.0,3.0,544.0
E01000089,612.0,202.0,273.0,108.0,24.0,5.0,581.0
E01000090,549.0,186.0,257.0,81.0,23.0,2.0,497.0
E01000091,633.0,306.0,254.0,45.0,22.0,6.0,438.0
E01000093,642.0,345.0,243.0,44.0,9.0,1.0,362.0
E01000094,517.0,192.0,257.0,64.0,1.0,3.0,400.0
E01000095,549.0,167.0,261.0,101.0,18.0,2.0,525.0
E01000096,639.0,328.0,264.0,41.0,5.0,1.0,366.0
E01000097,708.0,308.0,294.0,88.0,15.0,3.0,528.0
E01000098,625.0,219.0,286.0,97.0,19.0,4.0,553.0
E01000099,666.0,230.0,297.0,110.0,23.0,6.0,613.0
E01000100,615.0,230.0,270.0,96.0,16.0,3.0,523.0
E01000101,567.0,210.0,256.0,81.0,17.0,3.0,481.0
E01000102,625.0,230.0,287.0,91.0,14.0,3.0,523.0
E01000103,600.0,214.0,280.0,89.0,12.0,5.0,522.0
E01000104,739.0,340.0,311.0,76.0,11.0,1.0,500.0
E01000105,915.0,486.0,331.0,86.0,12.0,0.0,539.0
E01000106,916.0,494.0,333.0,70.0,17.0,2.0,532.0
E01000107,601.0,159.0,298.0,106.0,30.0,8.0,638.0
E01000108,652.0,224.0,291.0,106.0,24.0,7.0,606.0
E01000110,501.0,96.0,243.0,133.0,25.0,4.0,601.0
E01000111,732.0,270.0,333.0,104.0,19.0,6.0,624.0
E01000112,739.0,263.0,330.0,110.0,29.0,7.0,666.0
E01000113,633.0,227.0,282.0,99.0,19.0,6.0,561.0
E01000114,758.0,220.0,336.0,155.0,39.0,8.0,799.0
E01000115,485.0,43.0,153.0,228.0,45.0,16.0,820.0
E01000116,623.0,95.0,282.0,199.0,36.0,11.0,837.0
E01000117,762.0,149.0,379.0,168.0,43.0,23.0,957.0
E01000118,709.0,114.0,340.0,203.0,37.0,15.0,917.0
E01000119,607.0,82.0,276.0,194.0,41.0,14.0,853.0
E01000120,505.0,52.0,223.0,167.0,47.0,16.0,766.0
E01000121,501.0,148.0,226.0,105.0,20.0,2.0,504.0
E01000122,522.0,84.0,222.0,152.0,40.0,24.0,747.0
E01000123,685.0,147.0,360.0,141.0,30.0,7.0,764.0
E01000124,660.0,249.0,314.0,85.0,8.0,4.0,526.0
E01000126,726.0,261.0,332.0,106.0,19.0,8.0,634.0
E01000127,514.0,216.0,201.0,84.0,10.0,3.0,411.0
E01000128,624.0,215.0,272.0,113.0,18.0,6.0,579.0
E01000129,624.0,341.0,225.0,49.0,8.0,1.0,351.0
E01000130,570.0,192.0,260.0,105.0,8.0,5.0,514.0
E01000131,634.0,211.0,281.0,108.0,28.0,6.0,605.0
E01000132,495.0,179.0,226.0,75.0,14.0,1.0,423.0
E01000133,565.0,225.0,224.0,95.0,17.0,4.0,481.0
E01000134,625.0,253.0,274.0,79.0,13.0,6.0,496.0
E01000135,541.0,132.0,237.0,135.0,28.0,9.0,637.0
E01000136,563.0,132.0,214.0,153.0,47.0,17.0,741.0
E01000137,669.0,327.0,282.0,50.0,8.0,2.0,414.0
E01000138,523.0,166.0,222.0,109.0,20.0,6.0,526.0
E01000139,560.0,181.0,214.0,119.0,33.0,13.0,610.0
E01000140,683.0,350.0,235.0,77.0,14.0,7.0,460.0
E01000141,864.0,489.0,304.0,61.0,7.0,3.0,461.0
E01000142,950.0,373.0,444.0,114.0,14.0,5.0,736.0
E01000143,538.0,287.0,192.0,46.0,10.0,3.0,326.0
E01000144,607.0,278.0,220.0,89.0,17.0,3.0,461.0
E01000145,444.0,130.0,169.0,120.0,19.0,6.0,492.0
E01000146,744.0,375.0,265.0,79.0,17.0,8.0,506.0
E01000147,544.0,110.0,246.0,130.0,43.0,15.0,698.0
E01000150,744.0,201.0,327.0,163.0,46.0,7.0,819.0
E01000151,617.0,342.0,229.0,38.0,7.0,1.0,330.0
E01000152,564.0,236.0,267.0,54.0,6.0,1.0,399.0
E01000153,620.0,285.0,259.0,66.0,5.0,5.0,426.0
E01000154,501.0,239.0,198.0,56.0,7.0,1.0,337.0
E01000156,751.0,224.0,385.0,118.0,17.0,7.0,704.0
E01000157,689.0,265.0,324.0,86.0,10.0,4.0,543.0
E01000158,564.0,166.0,273.0,104.0,19.0,2.0,546.0
E01000159,645.0,133.0,277.0,181.0,45.0,9.0,813.0
E01000160,923.0,216.0,511.0,174.0,17.0,5.0,932.0
E01000161,710.0,219.0,337.0,131.0,18.0,5.0,673.0
E01000162,552.0,114.0,286.0,117.0,30.0,5.0,632.0
E01000163,759.0,343.0,352.0,57.0,6.0,1.0,489.0
E01000164,648.0,265.0,250.0,108.0,24.0,1.0,543.0
E01000165,707.0,144.0,364.0,161.0,29.0,9.0,814.0
E01000166,648.0,108.0,313.0,184.0,30.0,13.0,831.0
E01000167,522.0,147.0,224.0,127.0,16.0,8.0,566.0
E01000168,576.0,59.0,256.0,198.0,49.0,14.0,858.0
E01000169,670.0,148.0,327.0,147.0,38.0,10.0,776.0
E01000170,656.0,180.0,282.0,147.0,35.0,12.0,732.0
E01000171,856.0,298.0,427.0,113.0,15.0,3.0,710.0
E01000172,602.0,84.0,279.0,168.0,51.0,20.0,856.0
E01000173,617.0,79.0,293.0,195.0,39.0,11.0,848.0
E01000174,766.0,247.0,370.0,123.0,24.0,2.0,696.0
E01000175,618.0,118.0,265.0,175.0,43.0,17.0,816.0
E01000176,698.0,290.0,299.0,92.0,14.0,3.0,552.0
E01000177,690.0,201.0,390.0,87.0,10.0,2.0,602.0
E01000178,695.0,239.0,321.0,108.0,23.0,4.0,622.0
E01000179,763.0,228.0,424.0,103.0,7.0,1.0,655.0
E01000180,689.0,280.0,300.0,90.0,18.0,1.0,538.0
E01000181,669.0,253.0,330.0,68.0,16.0,2.0,522.0
E01000182,746.0,309.0,348.0,75.0,11.0,3.0,543.0
E01000183,584.0,160.0,267.0,128.0,26.0,3.0,613.0
E01000184,503.0,196.0,210.0,78.0,10.0,9.0,432.0
E01000185,606.0,316.0,234.0,50.0,4.0,2.0,354.0
E01000186,501.0,38.0,159.0,229.0,55.0,20.0,867.0
E01000187,593.0,135.0,223.0,190.0,38.0,7.0,752.0
E01000188,516.0,31.0,151.0,221.0,77.0,36.0,976.0
E01000189,711.0,363.0,279.0,58.0,11.0,0.0,428.0
E01000190,546.0,89.0,188.0,182.0,70.0,17.0,832.0
E01000191,530.0,68.0,207.0,179.0,58.0,18.0,813.0
E01000192,683.0,210.0,251.0,163.0,41.0,18.0,781.0
E01000193,594.0,148.0,211.0,175.0,47.0,13.0,758.0
E01000194,610.0,190.0,286.0,109.0,22.0,3.0,582.0
E01000195,697.0,229.0,335.0,106.0,22.0,5.0,640.0
E01000196,896.0,386.0,391.0,99.0,18.0,2.0,651.0
E01000197,707.0,229.0,320.0,125.0,27.0,6.0,676.0
E01000198,685.0,94.0,326.0,202.0,46.0,17.0,947.0
E01000199,671.0,86.0,315.0,210.0,45.0,15.0,934.0
E01000200,863.0,222.0,414.0,184.0,34.0,9.0,922.0
E01000201,517.0,57.0,157.0,203.0,71.0,29.0,902.0
E01000202,648.0,148.0,267.0,191.0,33.0,9.0,786.0
E01000203,613.0,201.0,268.0,107.0,28.0,9.0,603.0
E01000204,687.0,165.0,288.0,170.0,49.0,15.0,841.0
E01000205,619.0,80.0,336.0,171.0,22.0,10.0,798.0
E01000206,514.0,56.0,161.0,167.0,77.0,53.0,962.0
E01000207,608.0,111.0,246.0,191.0,51.0,9.0,818.0
E01000208,619.0,98.0,278.0,180.0,35.0,28.0,862.0
E01000209,747.0,189.0,356.0,167.0,29.0,6.0,803.0
E01000210,600.0,113.0,259.0,195.0,28.0,5.0,754.0
E01000211,861.0,390.0,361.0,96.0,13.0,1.0,604.0
E01000212,529.0,117.0,227.0,136.0,32.0,17.0,672.0
E01000213,465.0,49.0,114.0,191.0,84.0,27.0,863.0
E01000214,717.0,244.0,316.0,130.0,24.0,3.0,660.0
E01000215,680.0,219.0,278.0,152.0,24.0,7.0,684.0
E01000216,684.0,216.0,291.0,149.0,26.0,2.0,681.0
E01000217,521.0,118.0,201.0,158.0,30.0,14.0,669.0
E01000218,573.0,211.0,248.0,96.0,11.0,7.0,502.0
E01000219,581.0,211.0,242.0,115.0,10.0,3.0,514.0
E01000220,593.0,268.0,223.0,79.0,17.0,6.0,457.0
E01000221,485.0,244.0,178.0,56.0,7.0,0.0,311.0
E01000222,506.0,164.0,221.0,90.0,26.0,5.0,500.0
