LSOA11CD,Borough,All categories: Car or van availability,No cars or vans in household,1 car or van in household,2 cars or vans in household,3 cars or vans in household,4 or more cars or vans in household,sum of All cars or vans in the area
E01000001,City of London ,876,519.0,285.0,53.0,15.0,4.0,452.0
E01000002,City of London ,830,481.0,293.0,38.0,13.0,5.0,441.0
E01000003,City of London ,817,655.0,148.0,11.0,2.0,1.0,180.0
E01000005,City of London ,467,356.0,100.0,9.0,2.0,0.0,124.0
E01000006,Barking and Dagenham ,543,186.0,249.0,87.0,14.0,7.0,496.0
E01000007,Barking and Dagenham ,612,385.0,185.0,38.0,3.0,1.0,274.0
E01000008,Barking and Dagenham ,521,305.0,174.0,34.0,4.0,4.0,270.0
E01000009,Barking and Dagenham ,638,336.0,237.0,50.0,12.0,3.0,385.0
E01000010,Barking and Dagenham ,1103,818.0,249.0,33.0,3.0,0.0,324.0
E01000011,Barking and Dagenham ,457,186.0,188.0,69.0,13.0,1.0,369.0
E01000012,Barking and Dagenham ,698,369.0,282.0,41.0,3.0,3.0,386.0
E01000013,Barking and Dagenham ,650,282.0,282.0,71.0,12.0,3.0,474.0
E01000014,Barking and Dagenham ,638,229.0,303.0,83.0,19.0,4.0,545.0
E01000015,Barking and Dagenham ,836,353.0,376.0,90.0,13.0,4.0,612.0
E01000016,Barking and Dagenham ,626,218.0,299.0,83.0,22.0,4.0,547.0
E01000017,Barking and Dagenham ,609,228.0,254.0,107.0,14.0,6.0,534.0
E01000018,Barking and Dagenham ,612,225.0,278.0,89.0,13.0,7.0,525.0
E01000019,Barking and Dagenham ,504,189.0,206.0,90.0,13.0,6.0,450.0
E01000020,Barking and Dagenham ,650,218.0,304.0,97.0,23.0,8.0,599.0
E01000021,Barking and Dagenham ,593,241.0,260.0,72.0,16.0,4.0,468.0
E01000022,Barking and Dagenham ,474,162.0,216.0,76.0,19.0,1.0,429.0
E01000023,Barking and Dagenham ,500,196.0,249.0,47.0,5.0,3.0,370.0
E01000024,Barking and Dagenham ,456,149.0,211.0,77.0,10.0,9.0,434.0
E01000025,Barking and Dagenham ,629,223.0,299.0,86.0,19.0,2.0,536.0
