LSOA21CD,All categories: Distance travelled to work_weighted,Less than 2km_weighted,2km to less than 5km_weighted,5km to less than 10km_weighted,10km to less than 20km_weighted,20km to less than 30km_weighted,30km to less than 40km_weighted,40km to less than 60km_weighted,60km and over_weighted,Work mainly at or from home_weighted,Other_weighted,Total distance (km)_weighted,Average distance (km)_weighted
E01000001,926.0,452.0,152.0,83.0,23.0,3.0,7.0,3.0,10.0,145.0,48.0,4428.0,6.0
E01000002,910.0,392.0,187.0,78.0,21.0,6.0,3.0,2.0,15.0,149.0,57.0,3779.0,5.0
E01000003,764.0,349.0,175.0,57.0,25.0,5.0,1.0,0.0,17.0,79.0,56.0,4537.0,7.0
E01000005,476.0,152.0,135.0,57.0,33.0,3.0,6.0,4.0,8.0,35.0,43.0,3355.0,8.0
E01000006,781.0,90.0,86.0,121.0,229.0,29.0,10.0,8.0,18.0,61.0,129.0,8880.0,15.0
E01000007,607.0,71.0,77.0,112.0,157.0,32.0,9.0,12.0,18.0,28.0,91.0,7406.0,15.0
E01000008,545.0,61.0,56.0,125.0,144.0,28.0,5.0,8.0,9.0,28.0,81.0,5700.0,13.0
E01000009,769.0,69.0,94.0,131.0,243.0,41.0,15.0,11.0,9.0,46.0,110.0,8354.0,14.0
E01000011,691.0,76.0,84.0,135.0,184.0,30.0,6.0,11.0,9.0,50.0,106.0,6982.0,13.0
E01000012,769.0,78.0,88.0,118.0,240.0,30.0,10.0,2.0,21.0,49.0,133.0,9080.0,16.0
E01000013,669.0,77.0,135.0,88.0,141.0,56.0,10.0,3.0,13.0,45.0,101.0,7647.0,15.0
E01000014,696.0,90.0,124.0,88.0,160.0,55.0,11.0,7.0,12.0,35.0,114.0,7687.0,14.0
E01000015,885.0,106.0,134.0,130.0,229.0,85.0,13.0,10.0,9.0,47.0,122.0,9050.0,13.0
E01000016,678.0,87.0,130.0,107.0,156.0,51.0,11.0,5.0,7.0,40.0,84.0,6510.0,12.0
E01000017,642.0,65.0,133.0,70.0,157.0,56.0,10.0,9.0,4.0,35.0,103.0,6175.0,12.0
E01000018,644.0,91.0,120.0,84.0,146.0,58.0,18.0,8.0,16.0,30.0,73.0,8452.0,16.0
E01000019,558.0,65.0,116.0,65.0,145.0,29.0,12.0,4.0,2.0,52.0,68.0,4819.0,11.0
E01000020,712.0,76.0,152.0,108.0,194.0,29.0,12.0,3.0,12.0,32.0,94.0,8037.0,14.0
E01000021,614.0,50.0,141.0,86.0,141.0,31.0,6.0,8.0,12.0,41.0,98.0,6208.0,13.0
E01000022,532.0,53.0,131.0,66.0,132.0,26.0,4.0,3.0,7.0,26.0,84.0,4771.0,11.0
E01000024,534.0,42.0,111.0,90.0,140.0,26.0,7.0,8.0,10.0,31.0,69.0,6089.0,14.0
E01000025,678.0,50.0,140.0,118.0,171.0,27.0,8.0,11.0,31.0,45.0,77.0,13292.0,24.0
E01000027,634.0,49.0,134.0,127.0,125.0,43.0,8.0,8.0,9.0,39.0,92.0,6050.0,12.0
E01000028,535.0,42.0,107.0,100.0,124.0,35.0,8.0,3.0,11.0,35.0,70.0,5974.0,14.0
E01000029,636.0,52.0,104.0,96.0,174.0,60.0,9.0,4.0,14.0,37.0,86.0,7660.0,15.0
E01000030,665.0,47.0,115.0,134.0,143.0,45.0,10.0,5.0,16.0,46.0,104.0,8660.0,17.0
E01000031,728.0,53.0,126.0,100.0,212.0,73.0,9.0,5.0,9.0,49.0,92.0,8366.0,14.0
E01000032,718.0,67.0,132.0,92.0,191.0,44.0,14.0,8.0,16.0,67.0,87.0,7599.0,14.0
E01000033,512.0,54.0,106.0,70.0,115.0,54.0,7.0,6.0,11.0,22.0,67.0,6909.0,16.0
E01000034,559.0,82.0,105.0,60.0,141.0,51.0,7.0,3.0,9.0,32.0,69.0,5489.0,12.0
E01000035,684.0,58.0,103.0,94.0,163.0,58.0,16.0,3.0,17.0,72.0,100.0,7966.0,16.0
E01000036,643.0,67.0,109.0,70.0,163.0,68.0,7.0,7.0,13.0,37.0,102.0,8179.0,16.0
E01000037,890.0,156.0,118.0,100.0,229.0,99.0,15.0,3.0,10.0,62.0,98.0,9332.0,13.0
E01000038,650.0,130.0,105.0,90.0,142.0,51.0,10.0,5.0,6.0,46.0,65.0,6007.0,11.0
E01000039,748.0,114.0,141.0,72.0,190.0,81.0,4.0,7.0,10.0,41.0,88.0,8187.0,13.0
E01000040,637.0,91.0,108.0,120.0,155.0,23.0,7.0,6.0,12.0,41.0,74.0,7413.0,14.0
E01000041,683.0,63.0,150.0,100.0,166.0,32.0,9.0,6.0,16.0,34.0,107.0,8287.0,15.0
E01000042,610.0,74.0,77.0,87.0,187.0,30.0,9.0,9.0,14.0,29.0,94.0,7139.0,15.0
E01000043,519.0,61.0,76.0,93.0,143.0,22.0,10.0,3.0,7.0,29.0,75.0,5262.0,13.0
E01000044,769.0,86.0,103.0,126.0,202.0,36.0,6.0,13.0,10.0,57.0,130.0,7248.0,13.0
E01000045,664.0,52.0,144.0,107.0,174.0,23.0,15.0,3.0,10.0,44.0,92.0,7911.0,15.0
E01000046,738.0,55.0,161.0,124.0,183.0,27.0,11.0,6.0,10.0,52.0,109.0,7596.0,13.0
E01000049,572.0,74.0,43.0,109.0,163.0,26.0,5.0,6.0,13.0,55.0,78.0,7041.0,16.0
E01000050,570.0,74.0,59.0,93.0,159.0,22.0,6.0,6.0,9.0,37.0,105.0,5982.0,14.0
E01000051,581.0,78.0,65.0,106.0,157.0,29.0,7.0,5.0,11.0,30.0,93.0,6031.0,13.0
E01000052,858.0,111.0,117.0,124.0,255.0,36.0,11.0,7.0,22.0,55.0,120.0,11043.0,16.0
E01000053,617.0,66.0,106.0,83.0,149.0,55.0,11.0,1.0,12.0,44.0,90.0,7475.0,16.0
E01000054,694.0,89.0,133.0,95.0,177.0,44.0,6.0,7.0,20.0,30.0,93.0,8481.0,15.0
E01000055,664.0,77.0,109.0,97.0,187.0,33.0,11.0,4.0,6.0,35.0,105.0,6564.0,13.0
E01000056,609.0,76.0,94.0,96.0,156.0,40.0,8.0,2.0,13.0,38.0,86.0,7618.0,16.0
E01000057,595.0,59.0,116.0,85.0,171.0,25.0,8.0,5.0,10.0,31.0,85.0,5822.0,12.0
E01000058,796.0,82.0,147.0,93.0,225.0,58.0,12.0,5.0,9.0,40.0,125.0,8220.0,13.0
E01000059,621.0,86.0,102.0,108.0,154.0,36.0,15.0,4.0,5.0,33.0,78.0,5759.0,11.0
E01000060,685.0,96.0,114.0,108.0,149.0,57.0,10.0,4.0,6.0,50.0,91.0,6136.0,11.0
E01000061,591.0,89.0,151.0,92.0,104.0,41.0,13.0,3.0,9.0,27.0,62.0,5635.0,11.0
E01000062,770.0,106.0,147.0,100.0,178.0,67.0,14.0,6.0,15.0,41.0,96.0,8528.0,14.0
E01000063,661.0,77.0,146.0,92.0,158.0,45.0,9.0,4.0,9.0,38.0,83.0,6876.0,13.0
E01000064,754.0,71.0,172.0,106.0,170.0,46.0,12.0,4.0,12.0,40.0,121.0,7569.0,13.0
E01000065,661.0,72.0,149.0,81.0,173.0,43.0,17.0,3.0,9.0,28.0,86.0,6574.0,12.0
E01000066,802.0,69.0,167.0,138.0,194.0,30.0,15.0,3.0,19.0,53.0,114.0,9167.0,14.0
E01000067,824.0,54.0,124.0,178.0,236.0,26.0,7.0,3.0,12.0,53.0,131.0,9070.0,14.0
E01000068,739.0,74.0,104.0,116.0,205.0,31.0,11.0,4.0,39.0,53.0,102.0,9010.0,15.0
E01000069,798.0,89.0,135.0,126.0,232.0,21.0,15.0,5.0,8.0,71.0,96.0,7417.0,12.0
E01000070,843.0,88.0,116.0,154.0,231.0,25.0,11.0,6.0,15.0,65.0,132.0,9741.0,15.0
E01000071,973.0,91.0,129.0,182.0,297.0,40.0,12.0,6.0,17.0,69.0,130.0,10837.0,14.0
E01000072,725.0,54.0,152.0,131.0,192.0,38.0,10.0,2.0,8.0,41.0,97.0,6591.0,11.0
E01000073,652.0,48.0,137.0,110.0,168.0,22.0,8.0,4.0,9.0,50.0,96.0,6200.0,12.0
E01000074,641.0,38.0,142.0,113.0,180.0,29.0,12.0,3.0,8.0,32.0,84.0,6955.0,13.0
E01000075,678.0,66.0,156.0,93.0,182.0,31.0,11.0,3.0,11.0,44.0,81.0,7046.0,13.0
E01000076,740.0,61.0,179.0,126.0,174.0,38.0,10.0,5.0,14.0,29.0,104.0,7839.0,13.0
E01000077,608.0,47.0,138.0,96.0,146.0,31.0,8.0,3.0,14.0,29.0,96.0,7836.0,16.0
E01000078,611.0,71.0,140.0,69.0,154.0,29.0,10.0,8.0,6.0,43.0,81.0,6126.0,13.0
E01000079,575.0,67.0,132.0,73.0,151.0,28.0,9.0,2.0,9.0,23.0,81.0,6356.0,14.0
E01000080,612.0,74.0,141.0,63.0,159.0,34.0,8.0,4.0,11.0,29.0,89.0,6360.0,13.0
E01000081,701.0,96.0,150.0,97.0,150.0,44.0,11.0,4.0,8.0,36.0,105.0,6435.0,12.0
E01000082,670.0,78.0,161.0,97.0,148.0,52.0,10.0,6.0,8.0,29.0,81.0,6658.0,12.0
E01000083,671.0,61.0,156.0,87.0,179.0,34.0,10.0,7.0,7.0,46.0,84.0,6705.0,12.0
E01000084,561.0,87.0,115.0,68.0,125.0,45.0,8.0,3.0,10.0,30.0,70.0,6373.0,14.0
E01000085,630.0,65.0,97.0,103.0,149.0,51.0,10.0,6.0,7.0,48.0,94.0,6953.0,14.0
E01000086,602.0,91.0,101.0,99.0,150.0,51.0,8.0,4.0,7.0,32.0,59.0,6189.0,12.0
E01000087,559.0,73.0,82.0,102.0,139.0,32.0,7.0,6.0,6.0,39.0,73.0,5033.0,11.0
E01000088,753.0,74.0,84.0,118.0,225.0,78.0,10.0,7.0,17.0,50.0,90.0,9445.0,15.0
E01000089,722.0,90.0,85.0,145.0,190.0,62.0,7.0,5.0,5.0,51.0,82.0,6854.0,12.0
E01000090,664.0,71.0,73.0,114.0,166.0,50.0,13.0,8.0,9.0,50.0,110.0,7662.0,15.0
E01000091,585.0,57.0,98.0,84.0,163.0,30.0,12.0,7.0,11.0,32.0,91.0,6685.0,14.0
E01000093,576.0,65.0,97.0,113.0,124.0,18.0,14.0,2.0,8.0,53.0,82.0,5367.0,12.0
E01000094,626.0,34.0,81.0,102.0,215.0,45.0,8.0,5.0,12.0,48.0,76.0,7129.0,14.0
E01000095,671.0,49.0,107.0,102.0,212.0,45.0,10.0,4.0,8.0,37.0,97.0,7512.0,14.0
E01000096,619.0,36.0,153.0,94.0,146.0,37.0,5.0,4.0,15.0,45.0,84.0,7050.0,14.0
E01000097,642.0,65.0,142.0,69.0,157.0,33.0,13.0,5.0,14.0,45.0,99.0,7500.0,15.0
E01000098,679.0,86.0,154.0,77.0,177.0,30.0,10.0,2.0,11.0,41.0,91.0,7278.0,13.0
E01000099,726.0,100.0,152.0,95.0,191.0,33.0,18.0,5.0,9.0,35.0,88.0,7451.0,12.0
E01000100,640.0,70.0,131.0,87.0,154.0,43.0,6.0,6.0,14.0,38.0,91.0,6869.0,13.0
E01000101,646.0,97.0,113.0,120.0,149.0,35.0,13.0,4.0,5.0,43.0,67.0,6076.0,11.0
E01000102,616.0,63.0,143.0,56.0,165.0,34.0,8.0,8.0,11.0,38.0,90.0,6724.0,14.0
E01000103,670.0,62.0,114.0,99.0,151.0,78.0,13.0,2.0,15.0,36.0,100.0,8492.0,16.0
E01000104,678.0,74.0,128.0,97.0,142.0,65.0,11.0,4.0,12.0,42.0,103.0,8556.0,16.0
E01000105,784.0,100.0,144.0,112.0,184.0,65.0,14.0,7.0,15.0,36.0,107.0,8745.0,14.0
E01000106,751.0,82.0,118.0,100.0,213.0,65.0,13.0,7.0,15.0,44.0,94.0,9106.0,15.0
E01000107,693.0,59.0,125.0,110.0,146.0,83.0,13.0,1.0,17.0,40.0,99.0,8613.0,15.0
E01000108,746.0,88.0,128.0,109.0,185.0,81.0,15.0,10.0,8.0,40.0,82.0,8025.0,13.0
E01000110,671.0,57.0,116.0,97.0,187.0,68.0,12.0,1.0,7.0,52.0,74.0,7004.0,13.0
E01000111,757.0,89.0,112.0,121.0,193.0,56.0,13.0,14.0,12.0,50.0,97.0,8373.0,14.0
E01000112,876.0,85.0,125.0,130.0,241.0,90.0,15.0,5.0,16.0,53.0,116.0,10831.0,15.0
E01000113,770.0,88.0,121.0,107.0,250.0,75.0,10.0,6.0,12.0,40.0,61.0,9152.0,14.0
E01000114,895.0,98.0,149.0,142.0,208.0,86.0,13.0,7.0,17.0,58.0,117.0,10903.0,15.0
E01000115,704.0,68.0,97.0,118.0,230.0,14.0,11.0,2.0,8.0,83.0,73.0,6443.0,12.0
E01000116,866.0,97.0,107.0,143.0,270.0,14.0,4.0,3.0,14.0,106.0,108.0,7686.0,12.0
