LSOA11CD,Borough,All categories: Distance travelled to work,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Work mainly at or from home,Other,Total distance (km),Average distance (km)
E01000001,City of London ,926,452.0,152.0,83.0,23.0,3.0,7.0,3.0,10.0,145.0,48.0,4427.8,6.0
E01000002,City of London ,910,392.0,187.0,78.0,21.0,6.0,3.0,2.0,15.0,149.0,57.0,3778.5,5.4
E01000003,City of London ,764,349.0,175.0,57.0,25.0,5.0,1.0,0.0,17.0,79.0,56.0,4536.7,7.2
E01000005,City of London ,476,152.0,135.0,57.0,33.0,3.0,6.0,4.0,8.0,35.0,43.0,3354.6,8.4
E01000006,Barking and Dagenham ,781,90.0,86.0,121.0,229.0,29.0,10.0,8.0,18.0,61.0,129.0,8880.3,15.0
E01000007,Barking and Dagenham ,607,71.0,77.0,112.0,157.0,32.0,9.0,12.0,18.0,28.0,91.0,7406.3,15.2
E01000008,Barking and Dagenham ,545,61.0,56.0,125.0,144.0,28.0,5.0,8.0,9.0,28.0,81.0,5699.6,13.1
E01000009,Barking and Dagenham ,769,69.0,94.0,131.0,243.0,41.0,15.0,11.0,9.0,46.0,110.0,8354.2,13.6
E01000010,Barking and Dagenham ,1327,111.0,129.0,211.0,493.0,61.0,13.0,4.0,19.0,83.0,203.0,14157.7,13.6
E01000011,Barking and Dagenham ,691,76.0,84.0,135.0,184.0,30.0,6.0,11.0,9.0,50.0,106.0,6982.3,13.1
E01000012,Barking and Dagenham ,769,78.0,88.0,118.0,240.0,30.0,10.0,2.0,21.0,49.0,133.0,9079.5,15.5
E01000013,Barking and Dagenham ,669,77.0,135.0,88.0,141.0,56.0,10.0,3.0,13.0,45.0,101.0,7647.0,14.6
E01000014,Barking and Dagenham ,696,90.0,124.0,88.0,160.0,55.0,11.0,7.0,12.0,35.0,114.0,7686.5,14.1
E01000015,Barking and Dagenham ,885,106.0,134.0,130.0,229.0,85.0,13.0,10.0,9.0,47.0,122.0,9050.0,12.6
E01000016,Barking and Dagenham ,678,87.0,130.0,107.0,156.0,51.0,11.0,5.0,7.0,40.0,84.0,6510.3,11.8
E01000017,Barking and Dagenham ,642,65.0,133.0,70.0,157.0,56.0,10.0,9.0,4.0,35.0,103.0,6174.7,12.3
E01000018,Barking and Dagenham ,644,91.0,120.0,84.0,146.0,58.0,18.0,8.0,16.0,30.0,73.0,8452.4,15.6
E01000019,Barking and Dagenham ,558,65.0,116.0,65.0,145.0,29.0,12.0,4.0,2.0,52.0,68.0,4818.6,11.0
E01000020,Barking and Dagenham ,712,76.0,152.0,108.0,194.0,29.0,12.0,3.0,12.0,32.0,94.0,8037.3,13.7
E01000021,Barking and Dagenham ,614,50.0,141.0,86.0,141.0,31.0,6.0,8.0,12.0,41.0,98.0,6207.9,13.1
E01000022,Barking and Dagenham ,532,53.0,131.0,66.0,132.0,26.0,4.0,3.0,7.0,26.0,84.0,4770.7,11.3
E01000023,Barking and Dagenham ,521,22.0,91.0,84.0,155.0,29.0,5.0,9.0,9.0,53.0,64.0,5858.3,14.5
E01000024,Barking and Dagenham ,534,42.0,111.0,90.0,140.0,26.0,7.0,8.0,10.0,31.0,69.0,6089.0,14.0
E01000025,Barking and Dagenham ,678,50.0,140.0,118.0,171.0,27.0,8.0,11.0,31.0,45.0,77.0,13291.9,23.9
E01000027,Barking and Dagenham ,634,49.0,134.0,127.0,125.0,43.0,8.0,8.0,9.0,39.0,92.0,6050.2,12.0
E01000028,Barking and Dagenham ,535,42.0,107.0,100.0,124.0,35.0,8.0,3.0,11.0,35.0,70.0,5974.0,13.9
E01000029,Barking and Dagenham ,636,52.0,104.0,96.0,174.0,60.0,9.0,4.0,14.0,37.0,86.0,7659.5,14.9
E01000030,Barking and Dagenham ,665,47.0,115.0,134.0,143.0,45.0,10.0,5.0,16.0,46.0,104.0,8659.9,16.8
E01000031,Barking and Dagenham ,728,53.0,126.0,100.0,212.0,73.0,9.0,5.0,9.0,49.0,92.0,8366.1,14.3
E01000032,Barking and Dagenham ,718,67.0,132.0,92.0,191.0,44.0,14.0,8.0,16.0,67.0,87.0,7598.6,13.5
E01000033,Barking and Dagenham ,512,54.0,106.0,70.0,115.0,54.0,7.0,6.0,11.0,22.0,67.0,6909.5,16.3
E01000034,Barking and Dagenham ,559,82.0,105.0,60.0,141.0,51.0,7.0,3.0,9.0,32.0,69.0,5488.8,12.0
E01000035,Barking and Dagenham ,684,58.0,103.0,94.0,163.0,58.0,16.0,3.0,17.0,72.0,100.0,7965.8,15.6
E01000036,Barking and Dagenham ,643,67.0,109.0,70.0,163.0,68.0,7.0,7.0,13.0,37.0,102.0,8179.1,16.2
E01000037,Barking and Dagenham ,890,156.0,118.0,100.0,229.0,99.0,15.0,3.0,10.0,62.0,98.0,9332.2,12.8
E01000038,Barking and Dagenham ,650,130.0,105.0,90.0,142.0,51.0,10.0,5.0,6.0,46.0,65.0,6007.0,11.1
E01000039,Barking and Dagenham ,748,114.0,141.0,72.0,190.0,81.0,4.0,7.0,10.0,41.0,88.0,8186.6,13.2
E01000040,Barking and Dagenham ,637,91.0,108.0,120.0,155.0,23.0,7.0,6.0,12.0,41.0,74.0,7413.2,14.2
E01000041,Barking and Dagenham ,683,63.0,150.0,100.0,166.0,32.0,9.0,6.0,16.0,34.0,107.0,8287.2,15.3
E01000042,Barking and Dagenham ,610,74.0,77.0,87.0,187.0,30.0,9.0,9.0,14.0,29.0,94.0,7139.1,14.7
E01000043,Barking and Dagenham ,519,61.0,76.0,93.0,143.0,22.0,10.0,3.0,7.0,29.0,75.0,5262.4,12.7
E01000044,Barking and Dagenham ,769,86.0,103.0,126.0,202.0,36.0,6.0,13.0,10.0,57.0,130.0,7247.5,12.5
E01000045,Barking and Dagenham ,664,52.0,144.0,107.0,174.0,23.0,15.0,3.0,10.0,44.0,92.0,7910.8,15.0
E01000046,Barking and Dagenham ,738,55.0,161.0,124.0,183.0,27.0,11.0,6.0,10.0,52.0,109.0,7595.9,13.2
E01000048,Barking and Dagenham ,520,65.0,57.0,88.0,127.0,31.0,7.0,3.0,14.0,37.0,91.0,6782.6,17.3
