LSOA21CD,All categories: Economic activity_weighted,Economically active: Total_weighted,Economically active: Employee: Part-time_weighted,Economically active: Employee: Full-time_weighted,Economically active: Self-employed with employees: Part-time_weighted,Economically active: Self-employed with employees: Full-time_weighted,Economically active: Self-employed without employees: Part-time_weighted,Economically active: Self-employed without employees: Full-time_weighted,Economically active: Unemployed_weighted,Economically active: Full-time student_weighted,Economically inactive: Total_weighted,Economically inactive: Retired_weighted,Economically inactive: Student (including full-time students)_weighted,Economically inactive: Looking after home or family_weighted,Economically inactive: Long-term sick or disabled_weighted,Economically inactive: Other_weighted
E01000001,1221.0,964.0,64.0,610.0,4.0,65.0,66.0,105.0,34.0,16.0,257.0,152.0,45.0,35.0,10.0,15.0
E01000002,1196.0,926.0,66.0,586.0,12.0,59.0,53.0,119.0,16.0,15.0,270.0,171.0,48.0,28.0,6.0,17.0
E01000003,1102.0,822.0,84.0,467.0,5.0,37.0,41.0,106.0,39.0,43.0,280.0,117.0,89.0,17.0,41.0,16.0
E01000005,773.0,530.0,81.0,323.0,4.0,12.0,10.0,25.0,46.0,29.0,243.0,74.0,53.0,44.0,48.0,24.0
E01000006,1251.0,874.0,158.0,407.0,11.0,28.0,40.0,89.0,83.0,58.0,377.0,72.0,117.0,105.0,46.0,37.0
E01000007,1034.0,731.0,116.0,346.0,4.0,24.0,14.0,44.0,87.0,96.0,303.0,34.0,114.0,76.0,36.0,43.0
E01000008,1023.0,696.0,130.0,267.0,8.0,9.0,24.0,42.0,125.0,91.0,327.0,28.0,110.0,81.0,52.0,56.0
E01000009,1377.0,906.0,153.0,447.0,5.0,18.0,22.0,56.0,91.0,114.0,471.0,110.0,120.0,103.0,72.0,66.0
E01000011,1239.0,820.0,140.0,348.0,6.0,15.0,47.0,53.0,84.0,127.0,419.0,69.0,122.0,110.0,49.0,69.0
E01000012,1324.0,890.0,163.0,408.0,2.0,24.0,37.0,79.0,95.0,82.0,434.0,61.0,127.0,144.0,39.0,63.0
E01000013,1134.0,760.0,150.0,381.0,3.0,20.0,33.0,54.0,77.0,42.0,374.0,115.0,76.0,79.0,66.0,38.0
E01000014,1170.0,798.0,141.0,430.0,4.0,15.0,23.0,59.0,91.0,35.0,372.0,112.0,66.0,87.0,64.0,43.0
E01000015,1493.0,1027.0,165.0,520.0,7.0,20.0,54.0,72.0,120.0,69.0,466.0,86.0,112.0,124.0,79.0,65.0
