LSOA11CD,Borough,All categories: Economic activity,Economically active: Total,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed with employees: Part-time,Economically active: Self-employed with employees: Full-time,Economically active: Self-employed without employees: Part-time,Economically active: Self-employed without employees: Full-time,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Total,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other
E01000001,City of London ,1221,964.0,64.0,610.0,4.0,65.0,66.0,105.0,34.0,16.0,257.0,152.0,45.0,35.0,10.0,15.0
E01000002,City of London ,1196,926.0,66.0,586.0,12.0,59.0,53.0,119.0,16.0,15.0,270.0,171.0,48.0,28.0,6.0,17.0
E01000003,City of London ,1102,822.0,84.0,467.0,5.0,37.0,41.0,106.0,39.0,43.0,280.0,117.0,89.0,17.0,41.0,16.0
E01000005,City of London ,773,530.0,81.0,323.0,4.0,12.0,10.0,25.0,46.0,29.0,243.0,74.0,53.0,44.0,48.0,24.0
E01000006,Barking and Dagenham ,1251,874.0,158.0,407.0,11.0,28.0,40.0,89.0,83.0,58.0,377.0,72.0,117.0,105.0,46.0,37.0
E01000007,Barking and Dagenham ,1034,731.0,116.0,346.0,4.0,24.0,14.0,44.0,87.0,96.0,303.0,34.0,114.0,76.0,36.0,43.0
E01000008,Barking and Dagenham ,1023,696.0,130.0,267.0,8.0,9.0,24.0,42.0,125.0,91.0,327.0,28.0,110.0,81.0,52.0,56.0
E01000009,Barking and Dagenham ,1377,906.0,153.0,447.0,5.0,18.0,22.0,56.0,91.0,114.0,471.0,110.0,120.0,103.0,72.0,66.0
E01000010,Barking and Dagenham ,2159,1502.0,184.0,843.0,9.0,30.0,58.0,87.0,145.0,146.0,657.0,71.0,259.0,172.0,56.0,99.0
E01000011,Barking and Dagenham ,1239,820.0,140.0,348.0,6.0,15.0,47.0,53.0,84.0,127.0,419.0,69.0,122.0,110.0,49.0,69.0
E01000012,Barking and Dagenham ,1324,890.0,163.0,408.0,2.0,24.0,37.0,79.0,95.0,82.0,434.0,61.0,127.0,144.0,39.0,63.0
E01000013,Barking and Dagenham ,1134,760.0,150.0,381.0,3.0,20.0,33.0,54.0,77.0,42.0,374.0,115.0,76.0,79.0,66.0,38.0
E01000014,Barking and Dagenham ,1170,798.0,141.0,430.0,4.0,15.0,23.0,59.0,91.0,35.0,372.0,112.0,66.0,87.0,64.0,43.0
E01000015,Barking and Dagenham ,1493,1027.0,165.0,520.0,7.0,20.0,54.0,72.0,120.0,69.0,466.0,86.0,112.0,124.0,79.0,65.0
E01000016,Barking and Dagenham ,1120,761.0,163.0,399.0,4.0,14.0,21.0,48.0,69.0,43.0,359.0,112.0,72.0,75.0,59.0,41.0
E01000017,Barking and Dagenham ,1108,715.0,123.0,387.0,3.0,16.0,24.0,57.0,63.0,42.0,393.0,93.0,78.0,88.0,91.0,43.0
E01000018,Barking and Dagenham ,1085,737.0,158.0,376.0,2.0,15.0,20.0,49.0,77.0,40.0,348.0,95.0,71.0,83.0,62.0,37.0
E01000019,Barking and Dagenham ,970,656.0,113.0,322.0,4.0,20.0,31.0,37.0,88.0,41.0,314.0,101.0,55.0,77.0,54.0,27.0
E01000020,Barking and Dagenham ,1226,835.0,129.0,435.0,5.0,22.0,22.0,62.0,95.0,65.0,391.0,98.0,96.0,90.0,67.0,40.0
E01000021,Barking and Dagenham ,1141,743.0,110.0,352.0,6.0,13.0,29.0,58.0,98.0,77.0,398.0,89.0,106.0,82.0,84.0,37.0
E01000022,Barking and Dagenham ,899,606.0,107.0,318.0,4.0,12.0,31.0,36.0,62.0,36.0,293.0,61.0,76.0,80.0,42.0,34.0
E01000023,Barking and Dagenham ,825,601.0,91.0,321.0,6.0,20.0,20.0,44.0,67.0,32.0,224.0,72.0,44.0,38.0,39.0,31.0
E01000024,Barking and Dagenham ,912,601.0,115.0,319.0,3.0,16.0,28.0,27.0,55.0,38.0,311.0,79.0,67.0,66.0,50.0,49.0
E01000025,Barking and Dagenham ,1139,778.0,141.0,413.0,2.0,19.0,39.0,43.0,83.0,38.0,361.0,98.0,66.0,62.0,77.0,58.0
E01000027,Barking and Dagenham ,1088,725.0,147.0,363.0,1.0,21.0,20.0,62.0,82.0,29.0,363.0,104.0,77.0,96.0,58.0,28.0
E01000028,Barking and Dagenham ,995,634.0,108.0,314.0,4.0,13.0,16.0,43.0,90.0,46.0,361.0,99.0,91.0,68.0,67.0,36.0
E01000029,Barking and Dagenham ,1068,698.0,139.0,375.0,3.0,22.0,37.0,43.0,52.0,27.0,370.0,201.0,63.0,44.0,30.0,32.0
E01000030,Barking and Dagenham ,1209,790.0,152.0,386.0,6.0,12.0,35.0,57.0,111.0,31.0,419.0,100.0,85.0,123.0,80.0,31.0
E01000031,Barking and Dagenham ,1157,799.0,120.0,473.0,4.0,21.0,27.0,56.0,65.0,33.0,358.0,154.0,73.0,61.0,38.0,32.0
