LSOA21CD,All categories: Highest level of qualification_weighted,Highest level of qualification: Level 4 qualifications and above_weighted
E01000001,1350.0,1047.0
E01000002,1293.0,1024.0
E01000003,1242.0,706.0
E01000005,821.0,283.0
E01000006,1309.0,431.0
E01000007,1058.0,342.0
E01000008,1042.0,252.0
E01000009,1462.0,511.0
E01000011,1269.0,375.0
E01000012,1332.0,441.0
E01000013,1245.0,211.0
E01000014,1253.0,179.0
E01000015,1570.0,279.0
E01000016,1216.0,176.0
E01000017,1191.0,235.0
E01000018,1168.0,197.0
E01000019,1030.0,207.0
E01000020,1357.0,279.0
E01000021,1196.0,268.0
E01000022,964.0,177.0
E01000024,970.0,174.0
E01000025,1218.0,196.0
E01000027,1241.0,178.0
E01000028,1133.0,232.0
E01000029,1314.0,272.0
E01000030,1336.0,232.0
E01000031,1264.0,315.0
E01000032,1277.0,245.0
E01000033,998.0,142.0
E01000034,1130.0,167.0
E01000035,1237.0,259.0
E01000036,1053.0,240.0
E01000037,1424.0,264.0
E01000038,1157.0,178.0
E01000039,1275.0,282.0
E01000040,1193.0,243.0
E01000041,1216.0,208.0
E01000042,1270.0,258.0
E01000043,1006.0,193.0
E01000044,1338.0,321.0
E01000045,1194.0,261.0
E01000046,1278.0,212.0
E01000049,1171.0,242.0
E01000050,1215.0,320.0
E01000051,1270.0,291.0
E01000052,1486.0,366.0
E01000053,1119.0,231.0
E01000054,1265.0,210.0
E01000055,1161.0,214.0
E01000056,1136.0,188.0
E01000057,1059.0,225.0
E01000058,1362.0,292.0
E01000059,1172.0,192.0
E01000060,1310.0,245.0
E01000061,1189.0,204.0
E01000062,1464.0,282.0
E01000063,1201.0,177.0
E01000064,1442.0,256.0
E01000065,1346.0,232.0
E01000066,1440.0,317.0
E01000067,1517.0,358.0
E01000068,1258.0,333.0
E01000069,1355.0,321.0
E01000070,1558.0,401.0
E01000071,1714.0,484.0
E01000072,1441.0,235.0
E01000073,1182.0,202.0
E01000074,1129.0,188.0
E01000075,1300.0,200.0
E01000076,1383.0,222.0
E01000077,1104.0,172.0
E01000078,1221.0,190.0
E01000079,1135.0,204.0
E01000080,1159.0,183.0
E01000081,1270.0,193.0
E01000082,1231.0,187.0
E01000083,1243.0,201.0
E01000084,990.0,172.0
E01000085,1238.0,198.0
E01000086,1052.0,199.0
E01000087,1001.0,174.0
E01000088,1367.0,300.0
E01000089,1214.0,256.0
E01000090,1128.0,260.0
E01000091,1168.0,206.0
E01000093,1115.0,212.0
E01000094,926.0,346.0
E01000095,1110.0,297.0
E01000096,1236.0,245.0
E01000097,1272.0,229.0
E01000098,1276.0,221.0
E01000099,1283.0,233.0
E01000100,1196.0,196.0
E01000101,1148.0,210.0
E01000102,1157.0,215.0
E01000103,1241.0,256.0
E01000104,1280.0,186.0
E01000105,1591.0,276.0
E01000106,1473.0,289.0
E01000107,1281.0,198.0
E01000108,1229.0,241.0
E01000110,1121.0,294.0
E01000111,1394.0,280.0
E01000112,1467.0,362.0
E01000113,1275.0,333.0
E01000114,1549.0,295.0
E01000115,1202.0,447.0
E01000116,1335.0,440.0
E01000117,1502.0,500.0
E01000118,1512.0,510.0
E01000119,1354.0,540.0
E01000120,1191.0,457.0
E01000121,1116.0,244.0
E01000122,1173.0,469.0
E01000123,1349.0,457.0
E01000124,1279.0,410.0
E01000126,1544.0,439.0
E01000127,1143.0,283.0
E01000128,1377.0,315.0
E01000129,1381.0,267.0
E01000130,1216.0,315.0
E01000131,1432.0,424.0
E01000132,1072.0,217.0
E01000133,1215.0,254.0
E01000134,1253.0,339.0
E01000135,1293.0,644.0
E01000136,1240.0,699.0
E01000137,1318.0,436.0
E01000138,1151.0,393.0
E01000139,1181.0,553.0
E01000140,1399.0,664.0
E01000141,1709.0,631.0
E01000142,1913.0,769.0
E01000143,1139.0,342.0
E01000144,1284.0,713.0
E01000145,1118.0,485.0
E01000146,1460.0,746.0
E01000147,1449.0,441.0
E01000150,1663.0,547.0
E01000151,1159.0,294.0
E01000152,1135.0,260.0
E01000153,1157.0,263.0
E01000154,1030.0,265.0
E01000156,1511.0,765.0
E01000157,1235.0,559.0
E01000158,1158.0,452.0
E01000159,1392.0,533.0
E01000160,1693.0,858.0
E01000161,1550.0,616.0
E01000162,1291.0,409.0
E01000163,1252.0,388.0
E01000164,1289.0,438.0
E01000165,1479.0,608.0
E01000166,1256.0,462.0
E01000167,1052.0,265.0
E01000168,1276.0,499.0
E01000169,1212.0,499.0
E01000170,1288.0,406.0
E01000171,1429.0,564.0
E01000172,1312.0,543.0
E01000173,1344.0,486.0
E01000174,1368.0,431.0
E01000175,1256.0,512.0
E01000176,1294.0,403.0
E01000177,1357.0,797.0
E01000178,1410.0,716.0
E01000179,1344.0,804.0
E01000180,1326.0,624.0
E01000181,1401.0,845.0
E01000182,1431.0,877.0
E01000183,1192.0,691.0
E01000184,1061.0,305.0
E01000185,1156.0,373.0
E01000186,1172.0,487.0
E01000187,1231.0,416.0
E01000188,1238.0,510.0
E01000189,1296.0,328.0
E01000190,1204.0,484.0
E01000191,1196.0,520.0
E01000192,1469.0,564.0
E01000193,1363.0,533.0
E01000194,1317.0,455.0
E01000195,1341.0,324.0
E01000196,1595.0,765.0
E01000197,1498.0,725.0
E01000198,1428.0,691.0
E01000199,1293.0,655.0
E01000200,1560.0,745.0
E01000201,1230.0,584.0
E01000202,1382.0,746.0
E01000203,1347.0,537.0
E01000204,1435.0,761.0
E01000205,1160.0,656.0
E01000206,1250.0,636.0
E01000207,1246.0,693.0
E01000208,1283.0,749.0
E01000209,1291.0,798.0
E01000210,1171.0,716.0
E01000211,1706.0,774.0
E01000212,1138.0,714.0
E01000213,1050.0,601.0
E01000214,1390.0,933.0
E01000215,1434.0,587.0
E01000216,1447.0,711.0
E01000217,1233.0,490.0
E01000218,1301.0,562.0
E01000219,1332.0,477.0
E01000220,1436.0,559.0
E01000221,956.0,247.0
E01000222,1206.0,370.0
E01000223,992.0,268.0
E01000224,1217.0,426.0
E01000225,1148.0,434.0
E01000226,1318.0,312.0
E01000227,1436.0,513.0
E01000228,1089.0,449.0
E01000229,1273.0,364.0
E01000230,1425.0,499.0
E01000231,1393.0,520.0
E01000232,1466.0,594.0
E01000233,1394.0,587.0
E01000234,1342.0,636.0
E01000235,1272.0,415.0
E01000236,1342.0,547.0
E01000237,1671.0,763.0
E01000238,1407.0,572.0
E01000239,1625.0,725.0
E01000240,1355.0,514.0
E01000241,1435.0,666.0
E01000242,1308.0,519.0
E01000243,1593.0,701.0
E01000244,1457.0,581.0
E01000245,1569.0,506.0
E01000246,1244.0,566.0
E01000247,1362.0,620.0
E01000248,1326.0,632.0
E01000249,1230.0,601.0
E01000250,1801.0,779.0
E01000251,1562.0,598.0
E01000252,1330.0,552.0
E01000253,1386.0,568.0
E01000254,1241.0,616.0
E01000255,1188.0,412.0
E01000256,1413.0,651.0
E01000257,1382.0,434.0
E01000258,1325.0,617.0
E01000259,2013.0,857.0
E01000260,1528.0,590.0
E01000261,1255.0,558.0
E01000263,1176.0,606.0
E01000264,1292.0,544.0
E01000265,1490.0,509.0
E01000266,1238.0,533.0
E01000267,1245.0,494.0
E01000268,1391.0,587.0
E01000269,1154.0,426.0
E01000270,1214.0,556.0
E01000271,1215.0,509.0
E01000272,1126.0,563.0
E01000273,1276.0,544.0
E01000274,1442.0,488.0
E01000275,1378.0,635.0
E01000276,1172.0,591.0
E01000277,1322.0,619.0
E01000278,1127.0,593.0
E01000279,1178.0,562.0
E01000280,1134.0,574.0
E01000281,953.0,358.0
E01000282,1362.0,592.0
E01000283,1112.0,585.0
E01000284,1373.0,583.0
E01000285,1190.0,361.0
E01000286,1262.0,368.0
E01000287,1251.0,308.0
E01000288,1215.0,398.0
E01000289,1322.0,285.0
E01000290,1288.0,359.0
E01000291,1163.0,238.0
E01000292,1221.0,494.0
E01000293,1413.0,678.0
E01000294,1316.0,528.0
E01000295,1429.0,741.0
E01000296,1439.0,765.0
E01000297,1193.0,515.0
E01000298,1543.0,738.0
E01000299,1514.0,660.0
E01000300,1339.0,656.0
E01000301,1181.0,616.0
E01000302,1484.0,697.0
E01000303,1202.0,650.0
E01000304,1306.0,704.0
E01000305,1352.0,405.0
E01000306,1405.0,452.0
E01000307,1323.0,338.0
E01000308,1189.0,255.0
E01000309,1492.0,638.0
E01000310,1730.0,646.0
E01000311,1115.0,493.0
E01000312,1300.0,404.0
E01000313,1510.0,494.0
E01000314,1539.0,681.0
E01000315,1303.0,293.0
E01000316,1836.0,816.0
E01000317,1333.0,633.0
E01000318,1480.0,558.0
E01000319,1189.0,531.0
E01000320,1213.0,566.0
E01000321,1400.0,651.0
E01000322,1444.0,620.0
E01000323,1671.0,694.0
E01000324,1411.0,539.0
E01000325,1293.0,274.0
E01000326,1022.0,213.0
E01000327,1265.0,263.0
E01000328,1212.0,234.0
E01000329,1071.0,233.0
E01000330,1313.0,267.0
E01000331,1266.0,212.0
E01000332,1257.0,296.0
E01000333,1331.0,232.0
E01000334,1298.0,245.0
E01000335,1289.0,297.0
E01000336,1411.0,339.0
E01000337,1286.0,279.0
E01000338,1360.0,336.0
E01000339,1234.0,246.0
E01000340,1227.0,235.0
E01000341,1209.0,208.0
E01000342,1292.0,244.0
E01000343,1204.0,214.0
E01000344,1284.0,275.0
E01000345,1079.0,222.0
E01000346,1283.0,234.0
E01000347,1192.0,150.0
E01000348,1186.0,293.0
E01000349,1338.0,340.0
E01000350,1205.0,241.0
E01000351,1308.0,243.0
E01000352,1267.0,224.0
E01000353,1423.0,299.0
E01000354,1218.0,247.0
E01000355,1261.0,233.0
E01000356,1310.0,248.0
E01000357,1130.0,249.0
E01000358,1344.0,275.0
E01000359,1041.0,256.0
E01000360,1338.0,358.0
E01000361,1237.0,278.0
E01000362,1227.0,299.0
E01000363,1206.0,306.0
E01000364,1303.0,317.0
E01000365,1381.0,327.0
E01000366,1288.0,351.0
E01000367,1251.0,181.0
E01000368,1167.0,169.0
E01000369,1318.0,241.0
E01000370,1300.0,293.0
E01000371,1267.0,263.0
E01000372,1294.0,227.0
E01000373,1062.0,194.0
E01000374,1078.0,148.0
E01000375,1148.0,211.0
E01000376,1177.0,210.0
E01000377,1190.0,262.0
E01000379,1285.0,258.0
E01000380,1201.0,188.0
E01000381,1238.0,249.0
E01000382,1239.0,349.0
E01000383,1251.0,279.0
E01000384,1427.0,368.0
E01000385,1375.0,260.0
E01000386,1122.0,177.0
E01000387,1256.0,295.0
E01000388,1279.0,240.0
E01000389,1381.0,368.0
E01000390,1075.0,225.0
E01000391,1365.0,230.0
E01000392,1262.0,255.0
E01000393,1305.0,292.0
E01000394,1187.0,302.0
E01000395,1181.0,252.0
E01000396,1136.0,252.0
E01000398,1263.0,196.0
E01000399,1293.0,249.0
E01000400,1246.0,230.0
E01000401,1313.0,215.0
E01000402,1204.0,257.0
E01000403,1649.0,346.0
E01000404,1605.0,440.0
E01000405,1012.0,232.0
E01000406,1230.0,275.0
E01000407,1263.0,275.0
E01000408,1241.0,258.0
E01000409,1348.0,233.0
E01000410,1264.0,251.0
E01000411,1137.0,198.0
E01000412,1324.0,290.0
E01000413,1047.0,178.0
