LSOA21CD,All categories: Number of bedrooms_weighted,No bedrooms_weighted,1 bedroom_weighted,2 bedrooms_weighted,3 bedrooms_weighted,4 bedrooms_weighted,5 or more bedrooms_weighted
E01000001,876.0,12.0,416.0,250.0,155.0,41.0,2.0
E01000002,830.0,2.0,402.0,274.0,87.0,62.0,3.0
E01000003,817.0,35.0,501.0,232.0,46.0,1.0,2.0
E01000005,467.0,10.0,241.0,130.0,79.0,4.0,3.0
E01000006,543.0,0.0,86.0,72.0,293.0,67.0,25.0
E01000007,612.0,9.0,309.0,179.0,100.0,12.0,3.0
E01000008,521.0,2.0,146.0,80.0,261.0,31.0,1.0
E01000009,638.0,6.0,255.0,73.0,209.0,73.0,22.0
E01000011,457.0,0.0,74.0,71.0,224.0,67.0,21.0
E01000012,698.0,4.0,206.0,326.0,132.0,26.0,4.0
E01000013,650.0,3.0,41.0,325.0,249.0,23.0,9.0
E01000014,638.0,1.0,82.0,331.0,196.0,22.0,6.0
E01000015,836.0,2.0,103.0,460.0,240.0,27.0,4.0
E01000016,626.0,2.0,34.0,291.0,267.0,27.0,5.0
E01000017,609.0,3.0,75.0,271.0,232.0,22.0,6.0
E01000018,612.0,1.0,29.0,320.0,236.0,23.0,3.0
E01000019,504.0,0.0,15.0,197.0,243.0,42.0,7.0
E01000020,650.0,5.0,94.0,216.0,292.0,34.0,9.0
E01000021,593.0,1.0,116.0,222.0,189.0,49.0,16.0
E01000022,474.0,0.0,14.0,187.0,254.0,16.0,3.0
E01000024,456.0,1.0,16.0,152.0,266.0,21.0,0.0
E01000025,629.0,2.0,45.0,350.0,196.0,33.0,3.0
E01000027,641.0,5.0,37.0,196.0,357.0,41.0,5.0
E01000028,612.0,7.0,132.0,208.0,247.0,15.0,3.0
E01000029,690.0,1.0,73.0,282.0,292.0,38.0,4.0
E01000030,770.0,2.0,98.0,396.0,254.0,15.0,5.0
E01000031,598.0,1.0,54.0,95.0,368.0,57.0,23.0
E01000032,631.0,1.0,64.0,165.0,322.0,67.0,12.0
E01000033,533.0,1.0,60.0,235.0,206.0,25.0,6.0
E01000034,517.0,0.0,52.0,140.0,239.0,79.0,7.0
E01000035,567.0,1.0,63.0,130.0,294.0,64.0,15.0
E01000036,469.0,1.0,14.0,108.0,288.0,41.0,17.0
E01000037,579.0,0.0,9.0,128.0,353.0,81.0,8.0
E01000038,563.0,1.0,25.0,82.0,386.0,63.0,6.0
E01000039,659.0,0.0,45.0,185.0,383.0,38.0,8.0
E01000040,640.0,4.0,97.0,370.0,152.0,13.0,4.0
E01000041,607.0,0.0,28.0,320.0,242.0,14.0,3.0
E01000042,679.0,1.0,184.0,253.0,210.0,21.0,10.0
E01000043,461.0,0.0,24.0,68.0,331.0,31.0,7.0
E01000044,629.0,2.0,58.0,241.0,283.0,39.0,6.0
E01000045,602.0,0.0,35.0,307.0,239.0,19.0,2.0
E01000046,654.0,1.0,55.0,291.0,287.0,13.0,7.0
E01000049,643.0,1.0,143.0,277.0,202.0,14.0,6.0
E01000050,615.0,4.0,117.0,225.0,239.0,21.0,9.0
E01000051,725.0,3.0,239.0,239.0,236.0,5.0,3.0
E01000052,769.0,0.0,82.0,368.0,284.0,31.0,4.0
E01000053,645.0,1.0,181.0,302.0,141.0,12.0,8.0
E01000054,638.0,1.0,37.0,336.0,249.0,13.0,2.0
E01000055,560.0,3.0,25.0,236.0,276.0,15.0,5.0
E01000056,573.0,0.0,44.0,303.0,205.0,15.0,6.0
E01000057,537.0,0.0,20.0,292.0,205.0,16.0,4.0
E01000058,690.0,2.0,41.0,387.0,214.0,37.0,9.0
E01000059,578.0,1.0,27.0,312.0,218.0,16.0,4.0
E01000060,770.0,4.0,164.0,260.0,301.0,37.0,4.0
E01000061,668.0,4.0,199.0,209.0,249.0,3.0,4.0
E01000062,761.0,3.0,69.0,327.0,317.0,38.0,7.0
E01000063,635.0,0.0,53.0,293.0,266.0,18.0,5.0
E01000064,709.0,1.0,97.0,174.0,398.0,24.0,15.0
E01000065,774.0,2.0,223.0,282.0,234.0,24.0,9.0
E01000066,683.0,6.0,103.0,138.0,363.0,53.0,20.0
E01000067,679.0,2.0,68.0,161.0,327.0,89.0,32.0
E01000068,462.0,0.0,32.0,28.0,259.0,106.0,37.0
E01000069,513.0,0.0,10.0,23.0,323.0,105.0,52.0
E01000070,598.0,1.0,26.0,69.0,336.0,113.0,53.0
E01000071,785.0,1.0,117.0,164.0,373.0,89.0,41.0
E01000072,784.0,0.0,126.0,390.0,221.0,43.0,4.0
E01000073,627.0,3.0,48.0,310.0,250.0,11.0,5.0
E01000074,629.0,2.0,91.0,311.0,215.0,6.0,4.0
E01000075,622.0,0.0,7.0,219.0,362.0,24.0,10.0
E01000076,710.0,4.0,99.0,273.0,299.0,33.0,2.0
E01000077,560.0,1.0,39.0,293.0,203.0,19.0,5.0
E01000078,649.0,2.0,50.0,316.0,257.0,21.0,3.0
E01000079,609.0,2.0,66.0,262.0,255.0,17.0,7.0
E01000080,594.0,2.0,57.0,282.0,235.0,15.0,3.0
E01000081,648.0,1.0,34.0,333.0,257.0,19.0,4.0
E01000082,672.0,0.0,127.0,269.0,245.0,26.0,5.0
E01000083,629.0,1.0,16.0,349.0,244.0,17.0,2.0
E01000084,517.0,2.0,29.0,245.0,227.0,10.0,4.0
E01000085,640.0,4.0,84.0,305.0,222.0,19.0,6.0
E01000086,508.0,1.0,20.0,245.0,230.0,9.0,3.0
E01000087,503.0,2.0,42.0,135.0,288.0,34.0,2.0
E01000088,640.0,2.0,70.0,152.0,384.0,25.0,7.0
E01000089,612.0,2.0,51.0,115.0,431.0,8.0,5.0
E01000090,549.0,2.0,48.0,70.0,403.0,11.0,15.0
E01000091,633.0,4.0,187.0,138.0,253.0,41.0,10.0
E01000093,642.0,3.0,243.0,180.0,173.0,40.0,3.0
E01000094,517.0,5.0,67.0,316.0,113.0,16.0,0.0
E01000095,549.0,3.0,40.0,211.0,256.0,37.0,2.0
E01000096,639.0,5.0,102.0,156.0,355.0,19.0,2.0
E01000097,708.0,2.0,144.0,328.0,209.0,21.0,4.0
E01000098,625.0,3.0,53.0,243.0,287.0,32.0,7.0
E01000099,666.0,3.0,27.0,371.0,246.0,11.0,8.0
E01000100,615.0,5.0,59.0,330.0,200.0,15.0,6.0
E01000101,567.0,3.0,48.0,252.0,245.0,15.0,4.0
E01000102,625.0,1.0,82.0,380.0,150.0,10.0,2.0
E01000103,600.0,4.0,59.0,111.0,375.0,40.0,11.0
E01000104,739.0,6.0,236.0,157.0,300.0,30.0,10.0
E01000105,915.0,1.0,259.0,415.0,223.0,6.0,11.0
E01000106,916.0,2.0,380.0,239.0,272.0,19.0,4.0
E01000107,601.0,0.0,21.0,161.0,362.0,44.0,13.0
E01000108,652.0,2.0,119.0,214.0,268.0,39.0,10.0
E01000110,501.0,1.0,15.0,86.0,319.0,63.0,17.0
E01000111,732.0,1.0,114.0,269.0,295.0,37.0,16.0
E01000112,739.0,2.0,136.0,251.0,299.0,37.0,14.0
E01000113,633.0,1.0,71.0,203.0,316.0,28.0,14.0
E01000114,758.0,2.0,64.0,134.0,510.0,35.0,13.0
E01000115,485.0,1.0,8.0,12.0,255.0,172.0,37.0
E01000116,623.0,0.0,56.0,29.0,429.0,96.0,13.0
E01000117,762.0,2.0,61.0,274.0,322.0,89.0,14.0
E01000118,709.0,0.0,17.0,120.0,413.0,150.0,9.0
E01000119,607.0,0.0,13.0,67.0,367.0,127.0,33.0
E01000120,505.0,0.0,8.0,24.0,314.0,122.0,37.0
E01000121,501.0,1.0,53.0,181.0,210.0,45.0,11.0
E01000122,522.0,1.0,26.0,34.0,330.0,103.0,28.0
E01000123,685.0,2.0,96.0,201.0,307.0,60.0,19.0
E01000124,660.0,4.0,124.0,256.0,225.0,45.0,6.0
E01000126,726.0,9.0,153.0,237.0,257.0,50.0,20.0
E01000127,514.0,3.0,44.0,213.0,233.0,18.0,3.0
E01000128,624.0,0.0,24.0,249.0,311.0,32.0,8.0
E01000129,624.0,2.0,173.0,250.0,164.0,26.0,9.0
E01000130,570.0,1.0,98.0,236.0,182.0,40.0,13.0
E01000131,634.0,2.0,109.0,175.0,286.0,56.0,6.0
E01000132,495.0,1.0,22.0,221.0,230.0,17.0,4.0
E01000133,565.0,0.0,73.0,190.0,266.0,24.0,12.0
E01000134,625.0,2.0,130.0,246.0,208.0,30.0,9.0
E01000135,541.0,1.0,61.0,109.0,100.0,136.0,134.0
E01000136,563.0,1.0,90.0,97.0,72.0,123.0,180.0
E01000137,669.0,1.0,130.0,330.0,146.0,43.0,19.0
E01000138,523.0,6.0,56.0,113.0,202.0,102.0,44.0
E01000139,560.0,1.0,60.0,195.0,108.0,67.0,129.0
E01000140,683.0,1.0,159.0,262.0,144.0,74.0,43.0
E01000141,864.0,3.0,274.0,328.0,159.0,58.0,42.0
E01000142,950.0,4.0,330.0,276.0,218.0,86.0,36.0
E01000143,538.0,0.0,122.0,204.0,161.0,35.0,16.0
E01000144,607.0,1.0,161.0,158.0,94.0,104.0,89.0
E01000145,444.0,0.0,29.0,47.0,136.0,126.0,106.0
E01000146,744.0,4.0,278.0,163.0,106.0,100.0,93.0
E01000147,544.0,1.0,33.0,52.0,327.0,104.0,27.0
E01000150,744.0,3.0,144.0,179.0,314.0,90.0,14.0
E01000151,617.0,3.0,206.0,242.0,124.0,37.0,5.0
E01000152,564.0,3.0,43.0,345.0,148.0,23.0,2.0
E01000153,620.0,4.0,171.0,236.0,153.0,53.0,3.0
E01000154,501.0,0.0,138.0,159.0,169.0,27.0,8.0
E01000156,751.0,4.0,95.0,281.0,213.0,121.0,37.0
E01000157,689.0,8.0,145.0,335.0,139.0,55.0,7.0
E01000158,564.0,2.0,105.0,168.0,184.0,70.0,35.0
E01000159,645.0,1.0,59.0,152.0,237.0,139.0,57.0
E01000160,923.0,0.0,163.0,387.0,249.0,103.0,21.0
E01000161,710.0,4.0,142.0,289.0,180.0,68.0,27.0
E01000162,552.0,2.0,56.0,102.0,308.0,70.0,14.0
E01000163,759.0,4.0,301.0,332.0,102.0,19.0,1.0
E01000164,648.0,4.0,114.0,197.0,268.0,55.0,10.0
E01000165,707.0,0.0,97.0,246.0,221.0,128.0,15.0
E01000166,648.0,0.0,43.0,206.0,283.0,82.0,34.0
E01000167,522.0,0.0,30.0,211.0,227.0,42.0,12.0
E01000168,576.0,0.0,15.0,72.0,259.0,191.0,39.0
E01000169,670.0,2.0,168.0,186.0,205.0,86.0,23.0
E01000170,656.0,2.0,103.0,186.0,266.0,73.0,26.0
E01000171,856.0,0.0,235.0,432.0,148.0,38.0,3.0
E01000172,602.0,0.0,14.0,119.0,308.0,125.0,36.0
E01000173,617.0,0.0,18.0,91.0,326.0,157.0,25.0
E01000174,766.0,5.0,180.0,298.0,210.0,58.0,15.0
E01000175,618.0,1.0,44.0,126.0,265.0,153.0,29.0
E01000176,698.0,5.0,224.0,211.0,191.0,54.0,13.0
E01000177,690.0,2.0,74.0,299.0,198.0,97.0,20.0
E01000178,695.0,1.0,130.0,167.0,175.0,152.0,70.0
