LSOA11CD,Borough,All categories: Occupation,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
E01000001,City of London ,926,167.0,446.0,208.0,53.0,15.0,17.0,6.0,2.0,12.0
E01000002,City of London ,910,171.0,417.0,207.0,61.0,12.0,8.0,18.0,3.0,13.0
E01000003,City of London ,764,89.0,285.0,183.0,67.0,19.0,36.0,29.0,11.0,45.0
E01000005,City of London ,476,49.0,81.0,90.0,64.0,31.0,33.0,33.0,26.0,69.0
E01000006,Barking and Dagenham ,781,60.0,140.0,77.0,81.0,103.0,73.0,70.0,73.0,104.0
E01000007,Barking and Dagenham ,607,53.0,103.0,62.0,67.0,63.0,54.0,71.0,42.0,92.0
E01000008,Barking and Dagenham ,545,30.0,63.0,39.0,41.0,55.0,61.0,70.0,48.0,138.0
E01000009,Barking and Dagenham ,769,62.0,141.0,93.0,79.0,66.0,54.0,90.0,60.0,124.0
E01000010,Barking and Dagenham ,1327,97.0,362.0,155.0,140.0,88.0,102.0,129.0,58.0,196.0
E01000011,Barking and Dagenham ,691,55.0,106.0,78.0,60.0,61.0,48.0,88.0,59.0,136.0
E01000012,Barking and Dagenham ,769,59.0,106.0,76.0,72.0,83.0,87.0,75.0,69.0,142.0
E01000013,Barking and Dagenham ,669,37.0,77.0,63.0,83.0,86.0,83.0,71.0,69.0,100.0
E01000014,Barking and Dagenham ,696,45.0,71.0,64.0,90.0,92.0,104.0,70.0,56.0,104.0
E01000015,Barking and Dagenham ,885,45.0,101.0,70.0,97.0,131.0,119.0,89.0,80.0,153.0
E01000016,Barking and Dagenham ,678,39.0,70.0,60.0,91.0,94.0,84.0,52.0,67.0,121.0
E01000017,Barking and Dagenham ,642,40.0,90.0,51.0,77.0,78.0,75.0,60.0,78.0,93.0
E01000018,Barking and Dagenham ,644,32.0,81.0,52.0,83.0,87.0,70.0,66.0,61.0,112.0
E01000019,Barking and Dagenham ,558,41.0,61.0,41.0,93.0,64.0,63.0,60.0,49.0,86.0
E01000020,Barking and Dagenham ,712,48.0,94.0,76.0,99.0,91.0,78.0,51.0,70.0,105.0
E01000021,Barking and Dagenham ,614,46.0,69.0,49.0,72.0,100.0,76.0,42.0,52.0,108.0
E01000022,Barking and Dagenham ,532,27.0,69.0,45.0,68.0,76.0,53.0,54.0,49.0,91.0
E01000023,Barking and Dagenham ,521,45.0,96.0,54.0,72.0,49.0,39.0,56.0,37.0,73.0
E01000024,Barking and Dagenham ,534,23.0,62.0,44.0,70.0,59.0,66.0,54.0,69.0,87.0
E01000025,Barking and Dagenham ,678,39.0,100.0,47.0,87.0,79.0,73.0,63.0,71.0,119.0
