LSOA21CD,Borough,Total: All usual residents aged 16 years and over in employment the week before the census,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Works mainly from home,"Works mainly at an offshore installation, in no fixed place, or outside the UK"
E01000001,City of London ,864,86.0,53.0,35.0,10.0,1.0,2.0,2.0,3.0,639.0,33.0
E01000002,City of London ,879,79.0,40.0,23.0,5.0,2.0,4.0,3.0,2.0,676.0,45.0
E01000003,City of London ,999,144.0,82.0,60.0,20.0,3.0,0.0,0.0,5.0,618.0,67.0
E01000005,City of London ,498,95.0,78.0,43.0,27.0,4.0,0.0,2.0,2.0,203.0,44.0
E01032739,City of London ,1181,155.0,75.0,51.0,14.0,2.0,1.0,1.0,12.0,816.0,54.0
E01032740,City of London ,927,115.0,57.0,31.0,7.0,3.0,0.0,0.0,4.0,650.0,60.0
E01000027,Barking and Dagenham ,802,42.0,119.0,95.0,126.0,49.0,9.0,6.0,3.0,141.0,212.0
E01000028,Barking and Dagenham ,684,40.0,109.0,82.0,94.0,38.0,21.0,3.0,7.0,126.0,164.0
E01000029,Barking and Dagenham ,774,45.0,104.0,92.0,112.0,45.0,9.0,6.0,6.0,187.0,168.0
E01000030,Barking and Dagenham ,976,34.0,140.0,125.0,141.0,65.0,25.0,5.0,10.0,224.0,207.0
E01000031,Barking and Dagenham ,789,35.0,96.0,67.0,130.0,60.0,7.0,3.0,6.0,242.0,143.0
E01000032,Barking and Dagenham ,880,62.0,92.0,115.0,144.0,32.0,11.0,3.0,16.0,198.0,207.0
E01000110,Barking and Dagenham ,737,50.0,88.0,72.0,118.0,39.0,10.0,3.0,8.0,197.0,152.0
E01000111,Barking and Dagenham ,962,34.0,123.0,103.0,143.0,71.0,10.0,3.0,7.0,203.0,265.0
E01000112,Barking and Dagenham ,918,64.0,103.0,93.0,156.0,55.0,10.0,1.0,5.0,238.0,193.0
E01000113,Barking and Dagenham ,944,66.0,99.0,91.0,169.0,50.0,12.0,2.0,1.0,258.0,196.0
E01000034,Barking and Dagenham ,656,61.0,89.0,59.0,88.0,41.0,11.0,3.0,9.0,140.0,155.0
E01000037,Barking and Dagenham ,854,96.0,99.0,76.0,114.0,62.0,7.0,1.0,7.0,227.0,165.0
E01000038,Barking and Dagenham ,783,90.0,85.0,68.0,126.0,45.0,7.0,2.0,7.0,198.0,155.0
E01000039,Barking and Dagenham ,820,75.0,81.0,73.0,109.0,53.0,9.0,3.0,7.0,216.0,194.0
E01000063,Barking and Dagenham ,797,61.0,133.0,95.0,125.0,30.0,6.0,2.0,8.0,151.0,186.0
E01000100,Barking and Dagenham ,811,77.0,122.0,85.0,112.0,43.0,9.0,4.0,10.0,156.0,193.0
E01000101,Barking and Dagenham ,733,63.0,119.0,75.0,127.0,36.0,10.0,0.0,9.0,115.0,179.0
E01000114,Barking and Dagenham ,1036,76.0,132.0,114.0,183.0,56.0,10.0,6.0,11.0,234.0,214.0
E01034469,Barking and Dagenham ,799,35.0,76.0,85.0,136.0,52.0,9.0,3.0,8.0,265.0,130.0
E01034470,Barking and Dagenham ,679,46.0,97.0,78.0,107.0,31.0,8.0,4.0,11.0,151.0,146.0
E01000033,Barking and Dagenham ,592,49.0,101.0,77.0,106.0,31.0,8.0,6.0,3.0,86.0,125.0
E01000060,Barking and Dagenham ,871,67.0,135.0,64.0,147.0,61.0,11.0,2.0,14.0,174.0,196.0
E01000061,Barking and Dagenham ,756,70.0,139.0,87.0,108.0,51.0,3.0,3.0,14.0,151.0,130.0
E01000062,Barking and Dagenham ,1025,68.0,152.0,90.0,171.0,66.0,15.0,4.0,7.0,194.0,258.0
E01000064,Barking and Dagenham ,1025,54.0,149.0,91.0,194.0,80.0,13.0,8.0,6.0,194.0,236.0
E01000065,Barking and Dagenham ,813,60.0,116.0,89.0,123.0,42.0,12.0,5.0,7.0,159.0,200.0
E01000078,Barking and Dagenham ,777,69.0,120.0,78.0,142.0,39.0,7.0,8.0,10.0,130.0,174.0
E01000080,Barking and Dagenham ,826,58.0,124.0,76.0,153.0,38.0,6.0,6.0,7.0,158.0,200.0
E01000081,Barking and Dagenham ,891,74.0,129.0,99.0,176.0,46.0,5.0,7.0,10.0,149.0,196.0
E01000082,Barking and Dagenham ,861,55.0,147.0,89.0,145.0,44.0,9.0,6.0,9.0,140.0,217.0
E01000083,Barking and Dagenham ,776,81.0,126.0,79.0,120.0,34.0,13.0,3.0,6.0,139.0,175.0
E01000102,Barking and Dagenham ,753,57.0,137.0,76.0,114.0,30.0,9.0,5.0,13.0,127.0,185.0
E01000021,Barking and Dagenham ,686,54.0,110.0,83.0,99.0,24.0,8.0,3.0,9.0,117.0,179.0
E01000022,Barking and Dagenham ,638,52.0,107.0,63.0,86.0,29.0,7.0,3.0,6.0,138.0,147.0
E01000024,Barking and Dagenham ,627,31.0,116.0,83.0,109.0,22.0,6.0,4.0,6.0,105.0,145.0
E01000025,Barking and Dagenham ,841,42.0,124.0,106.0,157.0,44.0,5.0,3.0,9.0,176.0,175.0
E01000077,Barking and Dagenham ,712,29.0,105.0,98.0,137.0,27.0,5.0,6.0,8.0,130.0,167.0
E01034471,Barking and Dagenham ,1118,39.0,157.0,138.0,234.0,41.0,14.0,11.0,14.0,225.0,245.0
E01034472,Barking and Dagenham ,811,24.0,99.0,92.0,184.0,39.0,10.0,8.0,7.0,199.0,149.0
E01000015,Barking and Dagenham ,1063,77.0,138.0,106.0,174.0,72.0,15.0,5.0,11.0,202.0,263.0
E01000016,Barking and Dagenham ,864,69.0,137.0,85.0,158.0,53.0,8.0,9.0,6.0,149.0,190.0
E01000017,Barking and Dagenham ,750,54.0,119.0,63.0,137.0,45.0,8.0,4.0,12.0,138.0,170.0
E01000018,Barking and Dagenham ,833,63.0,115.0,61.0,166.0,66.0,5.0,3.0,7.0,143.0,204.0
E01000079,Barking and Dagenham ,723,63.0,96.0,64.0,136.0,27.0,9.0,2.0,4.0,144.0,178.0
E01000035,Barking and Dagenham ,817,50.0,105.0,85.0,149.0,46.0,8.0,3.0,9.0,155.0,207.0
