LSOA21CD,Borough,Total: All households,1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms
E01000001,City of London ,838,376.0,278.0,140.0,44.0
E01000002,City of London ,826,409.0,265.0,100.0,52.0
E01000003,City of London ,1017,650.0,298.0,61.0,8.0
E01000005,City of London ,478,241.0,133.0,96.0,8.0
E01032739,City of London ,877,466.0,305.0,60.0,46.0
E01032740,City of London ,877,486.0,299.0,63.0,29.0
E01000027,Barking and Dagenham ,662,32.0,209.0,364.0,57.0
E01000028,Barking and Dagenham ,621,127.0,192.0,257.0,45.0
E01000029,Barking and Dagenham ,680,50.0,231.0,300.0,99.0
E01000030,Barking and Dagenham ,906,134.0,456.0,256.0,60.0
E01000031,Barking and Dagenham ,595,49.0,86.0,342.0,118.0
E01000032,Barking and Dagenham ,723,87.0,212.0,334.0,90.0
E01000110,Barking and Dagenham ,523,16.0,89.0,290.0,128.0
E01000111,Barking and Dagenham ,749,113.0,278.0,259.0,99.0
E01000112,Barking and Dagenham ,699,106.0,238.0,267.0,88.0
E01000113,Barking and Dagenham ,642,65.0,181.0,322.0,74.0
E01000034,Barking and Dagenham ,514,55.0,132.0,225.0,102.0
E01000037,Barking and Dagenham ,587,10.0,126.0,338.0,113.0
E01000038,Barking and Dagenham ,564,32.0,74.0,369.0,89.0
E01000039,Barking and Dagenham ,640,45.0,181.0,358.0,56.0
E01000063,Barking and Dagenham ,623,51.0,261.0,275.0,36.0
E01000100,Barking and Dagenham ,656,82.0,317.0,212.0,45.0
E01000101,Barking and Dagenham ,582,56.0,228.0,257.0,41.0
E01000114,Barking and Dagenham ,756,55.0,142.0,464.0,95.0
E01034469,Barking and Dagenham ,540,43.0,210.0,213.0,74.0
E01034470,Barking and Dagenham ,468,21.0,122.0,260.0,65.0
E01000033,Barking and Dagenham ,551,74.0,225.0,205.0,47.0
E01000060,Barking and Dagenham ,810,179.0,269.0,308.0,54.0
E01000061,Barking and Dagenham ,750,236.0,268.0,244.0,2.0
E01000062,Barking and Dagenham ,767,58.0,292.0,340.0,77.0
E01000064,Barking and Dagenham ,794,105.0,218.0,420.0,51.0
E01000065,Barking and Dagenham ,783,216.0,262.0,263.0,42.0
E01000078,Barking and Dagenham ,621,34.0,278.0,274.0,35.0
E01000080,Barking and Dagenham ,608,57.0,263.0,248.0,40.0
E01000081,Barking and Dagenham ,653,38.0,303.0,257.0,55.0
E01000082,Barking and Dagenham ,697,110.0,278.0,254.0,55.0
E01000083,Barking and Dagenham ,632,22.0,290.0,282.0,38.0
E01000102,Barking and Dagenham ,630,70.0,370.0,166.0,24.0
E01000021,Barking and Dagenham ,591,112.0,220.0,188.0,71.0
E01000022,Barking and Dagenham ,479,20.0,165.0,258.0,36.0
E01000024,Barking and Dagenham ,459,18.0,144.0,248.0,49.0
E01000025,Barking and Dagenham ,694,75.0,346.0,220.0,53.0
E01000077,Barking and Dagenham ,593,55.0,279.0,220.0,39.0
E01034471,Barking and Dagenham ,772,128.0,259.0,213.0,172.0
E01034472,Barking and Dagenham ,666,187.0,294.0,162.0,23.0
E01000015,Barking and Dagenham ,835,99.0,441.0,255.0,40.0
E01000016,Barking and Dagenham ,626,32.0,268.0,281.0,45.0
E01000017,Barking and Dagenham ,598,61.0,244.0,252.0,41.0
E01000018,Barking and Dagenham ,645,24.0,320.0,267.0,34.0
E01000079,Barking and Dagenham ,622,64.0,250.0,270.0,38.0
E01000035,Barking and Dagenham ,595,54.0,163.0,270.0,108.0
E01000036,Barking and Dagenham ,471,20.0,101.0,261.0,89.0
E01000107,Barking and Dagenham ,602,23.0,149.0,332.0,98.0
E01000108,Barking and Dagenham ,685,128.0,221.0,273.0,63.0
E01000066,Barking and Dagenham ,709,106.0,121.0,334.0,148.0
E01000067,Barking and Dagenham ,660,54.0,168.0,262.0,176.0
E01000069,Barking and Dagenham ,536,4.0,27.0,232.0,273.0
E01000070,Barking and Dagenham ,578,24.0,68.0,249.0,237.0
E01000071,Barking and Dagenham ,808,108.0,172.0,314.0,214.0
E01000057,Barking and Dagenham ,530,26.0,257.0,214.0,33.0
E01000073,Barking and Dagenham ,665,52.0,310.0,275.0,28.0
E01000074,Barking and Dagenham ,625,81.0,286.0,228.0,30.0
E01000075,Barking and Dagenham ,639,9.0,190.0,360.0,80.0
E01000076,Barking and Dagenham ,794,138.0,303.0,308.0,45.0
E01000013,Barking and Dagenham ,621,29.0,273.0,273.0,46.0
E01000014,Barking and Dagenham ,633,79.0,301.0,213.0,40.0
E01000059,Barking and Dagenham ,570,32.0,266.0,245.0,27.0
E01000084,Barking and Dagenham ,502,30.0,218.0,229.0,25.0
E01000085,Barking and Dagenham ,576,67.0,247.0,223.0,39.0
E01000086,Barking and Dagenham ,488,20.0,199.0,242.0,27.0
E01000103,Barking and Dagenham ,531,21.0,95.0,330.0,85.0
E01000104,Barking and Dagenham ,695,202.0,150.0,277.0,66.0
E01000105,Barking and Dagenham ,938,281.0,406.0,224.0,27.0
E01000106,Barking and Dagenham ,871,306.0,242.0,280.0,43.0
E01000007,Barking and Dagenham ,1191,531.0,409.0,179.0,72.0
E01000008,Barking and Dagenham ,548,152.0,84.0,264.0,48.0
E01000012,Barking and Dagenham ,783,194.0,382.0,137.0,70.0
E01034473,Barking and Dagenham ,425,115.0,141.0,114.0,55.0
E01034474,Barking and Dagenham ,864,453.0,288.0,100.0,23.0
E01000006,Barking and Dagenham ,554,97.0,72.0,257.0,128.0
E01000009,Barking and Dagenham ,602,236.0,74.0,164.0,128.0
E01000011,Barking and Dagenham ,473,58.0,72.0,201.0,142.0
E01000044,Barking and Dagenham ,661,95.0,212.0,275.0,79.0
E01000068,Barking and Dagenham ,476,27.0,40.0,211.0,198.0
E01000041,Barking and Dagenham ,602,20.0,289.0,259.0,34.0
E01000042,Barking and Dagenham ,655,145.0,235.0,220.0,55.0
E01000045,Barking and Dagenham ,576,37.0,270.0,225.0,44.0
E01000046,Barking and Dagenham ,659,64.0,259.0,292.0,44.0
E01000072,Barking and Dagenham ,739,116.0,322.0,239.0,62.0
E01000054,Barking and Dagenham ,641,33.0,313.0,256.0,39.0
E01000055,Barking and Dagenham ,567,24.0,234.0,275.0,34.0
E01000056,Barking and Dagenham ,563,36.0,269.0,223.0,35.0
E01000058,Barking and Dagenham ,699,42.0,345.0,251.0,61.0
E01000095,Barking and Dagenham ,738,52.0,267.0,328.0,91.0
E01000040,Barking and Dagenham ,656,89.0,367.0,176.0,24.0
E01000043,Barking and Dagenham ,470,31.0,63.0,305.0,71.0
E01000050,Barking and Dagenham ,631,116.0,243.0,201.0,71.0
E01000052,Barking and Dagenham ,794,85.0,363.0,295.0,51.0
E01034475,Barking and Dagenham ,587,100.0,112.0,271.0,104.0
E01034476,Barking and Dagenham ,510,52.0,142.0,191.0,125.0
E01034477,Barking and Dagenham ,552,126.0,265.0,140.0,21.0
E01034478,Barking and Dagenham ,472,122.0,237.0,71.0,42.0
E01000053,Barking and Dagenham ,651,197.0,273.0,146.0,35.0
E01000087,Barking and Dagenham ,520,44.0,135.0,290.0,51.0
E01000088,Barking and Dagenham ,602,40.0,138.0,368.0,56.0
E01000089,Barking and Dagenham ,602,37.0,92.0,451.0,22.0
E01000090,Barking and Dagenham ,558,59.0,67.0,403.0,29.0
E01000049,Barking and Dagenham ,574,100.0,224.0,224.0,26.0
E01000051,Barking and Dagenham ,433,150.0,198.0,56.0,29.0
E01033587,Barking and Dagenham ,1038,385.0,521.0,119.0,13.0
E01034479,Barking and Dagenham ,749,190.0,401.0,149.0,9.0
E01000091,Barking and Dagenham ,672,181.0,141.0,256.0,94.0
E01000093,Barking and Dagenham ,666,244.0,175.0,185.0,62.0
E01000094,Barking and Dagenham ,843,153.0,379.0,242.0,69.0
E01000096,Barking and Dagenham ,485,46.0,127.0,279.0,33.0
E01000019,Barking and Dagenham ,499,18.0,171.0,245.0,65.0
E01000020,Barking and Dagenham ,664,96.0,191.0,310.0,67.0
E01000097,Barking and Dagenham ,685,106.0,285.0,246.0,48.0
E01000098,Barking and Dagenham ,623,41.0,239.0,301.0,42.0
E01000099,Barking and Dagenham ,934,82.0,488.0,314.0,50.0
E01032580,Barking and Dagenham ,486,25.0,218.0,182.0,61.0
E01000248,Barnet ,719,127.0,206.0,165.0,221.0
E01000249,Barnet ,618,34.0,120.0,202.0,262.0
E01000250,Barnet ,1145,310.0,352.0,269.0,214.0
E01000254,Barnet ,631,36.0,163.0,199.0,233.0
E01000292,Barnet ,655,93.0,170.0,231.0,161.0
E01000293,Barnet ,707,92.0,122.0,194.0,299.0
E01000167,Barnet ,522,28.0,196.0,206.0,92.0
E01000246,Barnet ,641,30.0,198.0,198.0,215.0
E01000247,Barnet ,731,136.0,245.0,154.0,196.0
E01000251,Barnet ,1057,358.0,424.0,139.0,136.0
E01000252,Barnet ,793,217.0,256.0,129.0,191.0
E01000166,Barnet ,653,39.0,209.0,267.0,138.0
E01000168,Barnet ,558,4.0,47.0,225.0,282.0
E01000169,Barnet ,694,183.0,185.0,180.0,146.0
