LSOA21CD,Borough,Total: All households,1 room,2 rooms,3 rooms,4 rooms,5 rooms,6 rooms,7 rooms,8 rooms,9 or more rooms
E01000001,City of London ,837,88.0,169.0,322.0,51.0,150.0,49.0,3.0,4.0,1.0
E01000002,City of London ,823,97.0,237.0,288.0,64.0,60.0,67.0,3.0,0.0,7.0
E01000003,City of London ,1017,173.0,475.0,293.0,55.0,14.0,3.0,4.0,0.0,0.0
E01000005,City of London ,481,59.0,131.0,158.0,118.0,12.0,2.0,0.0,0.0,1.0
E01032739,City of London ,879,47.0,426.0,276.0,69.0,22.0,6.0,6.0,11.0,16.0
E01032740,City of London ,880,127.0,353.0,287.0,69.0,21.0,9.0,3.0,4.0,7.0
E01000027,Barking and Dagenham ,659,4.0,64.0,167.0,332.0,71.0,18.0,2.0,1.0,0.0
E01000028,Barking and Dagenham ,618,3.0,125.0,203.0,221.0,50.0,12.0,3.0,0.0,1.0
E01000029,Barking and Dagenham ,682,0.0,50.0,203.0,207.0,200.0,13.0,6.0,3.0,0.0
E01000030,Barking and Dagenham ,909,0.0,133.0,454.0,232.0,78.0,8.0,4.0,0.0,0.0
E01000031,Barking and Dagenham ,595,18.0,38.0,64.0,88.0,342.0,29.0,14.0,2.0,0.0
E01000032,Barking and Dagenham ,728,5.0,87.0,184.0,259.0,159.0,21.0,9.0,4.0,0.0
E01000110,Barking and Dagenham ,522,2.0,10.0,51.0,123.0,306.0,20.0,7.0,2.0,1.0
E01000111,Barking and Dagenham ,748,1.0,97.0,273.0,100.0,254.0,14.0,3.0,2.0,4.0
E01000112,Barking and Dagenham ,700,11.0,105.0,224.0,63.0,272.0,21.0,3.0,1.0,0.0
E01000113,Barking and Dagenham ,642,7.0,56.0,134.0,117.0,305.0,17.0,3.0,2.0,1.0
E01000034,Barking and Dagenham ,516,0.0,47.0,132.0,142.0,140.0,39.0,7.0,3.0,6.0
E01000037,Barking and Dagenham ,589,0.0,6.0,107.0,97.0,343.0,22.0,9.0,3.0,2.0
E01000038,Barking and Dagenham ,565,0.0,43.0,58.0,149.0,301.0,12.0,2.0,0.0,0.0
E01000039,Barking and Dagenham ,642,0.0,43.0,169.0,128.0,281.0,14.0,6.0,1.0,0.0
E01000063,Barking and Dagenham ,625,0.0,37.0,199.0,263.0,108.0,13.0,1.0,2.0,2.0
E01000100,Barking and Dagenham ,657,3.0,58.0,283.0,207.0,94.0,10.0,2.0,0.0,0.0
E01000101,Barking and Dagenham ,584,1.0,53.0,150.0,322.0,45.0,8.0,2.0,2.0,1.0
E01000114,Barking and Dagenham ,758,0.0,69.0,102.0,129.0,432.0,18.0,6.0,1.0,1.0
E01034469,Barking and Dagenham ,542,0.0,43.0,204.0,149.0,96.0,49.0,1.0,0.0,0.0
E01034470,Barking and Dagenham ,468,0.0,16.0,127.0,113.0,202.0,7.0,2.0,0.0,1.0
E01000033,Barking and Dagenham ,555,0.0,68.0,202.0,170.0,103.0,8.0,2.0,1.0,1.0
E01000060,Barking and Dagenham ,810,2.0,177.0,197.0,228.0,190.0,15.0,0.0,0.0,1.0
E01000061,Barking and Dagenham ,754,11.0,226.0,322.0,191.0,4.0,0.0,0.0,0.0,0.0
E01000062,Barking and Dagenham ,768,3.0,52.0,216.0,303.0,170.0,16.0,7.0,1.0,0.0
E01000064,Barking and Dagenham ,792,1.0,107.0,172.0,352.0,154.0,5.0,0.0,1.0,0.0
E01000065,Barking and Dagenham ,784,4.0,215.0,249.0,230.0,69.0,12.0,3.0,2.0,0.0
E01000078,Barking and Dagenham ,621,0.0,35.0,266.0,270.0,44.0,6.0,0.0,0.0,0.0
E01000080,Barking and Dagenham ,608,2.0,51.0,202.0,286.0,59.0,6.0,2.0,0.0,0.0
E01000081,Barking and Dagenham ,653,0.0,33.0,256.0,251.0,96.0,14.0,0.0,1.0,2.0
E01000082,Barking and Dagenham ,695,2.0,108.0,131.0,348.0,96.0,8.0,1.0,0.0,1.0
E01000083,Barking and Dagenham ,634,1.0,15.0,287.0,257.0,55.0,16.0,1.0,2.0,0.0
E01000102,Barking and Dagenham ,628,0.0,59.0,234.0,261.0,70.0,4.0,0.0,0.0,0.0
E01000021,Barking and Dagenham ,592,8.0,92.0,164.0,198.0,112.0,11.0,3.0,3.0,1.0
E01000022,Barking and Dagenham ,482,0.0,29.0,151.0,234.0,60.0,4.0,4.0,0.0,0.0
E01000024,Barking and Dagenham ,460,0.0,14.0,139.0,172.0,128.0,5.0,0.0,0.0,2.0
E01000025,Barking and Dagenham ,694,0.0,78.0,288.0,270.0,53.0,3.0,2.0,0.0,0.0
E01000077,Barking and Dagenham ,592,0.0,61.0,261.0,222.0,41.0,6.0,0.0,1.0,0.0
E01034471,Barking and Dagenham ,771,3.0,130.0,238.0,200.0,129.0,68.0,2.0,1.0,0.0
E01034472,Barking and Dagenham ,666,10.0,172.0,299.0,163.0,9.0,11.0,1.0,0.0,1.0
E01000015,Barking and Dagenham ,837,0.0,98.0,386.0,259.0,74.0,18.0,1.0,1.0,0.0
E01000016,Barking and Dagenham ,626,1.0,34.0,220.0,253.0,111.0,5.0,1.0,1.0,0.0
E01000017,Barking and Dagenham ,600,15.0,48.0,247.0,220.0,55.0,12.0,0.0,1.0,2.0
E01000018,Barking and Dagenham ,645,1.0,16.0,281.0,263.0,77.0,4.0,2.0,1.0,0.0
E01000079,Barking and Dagenham ,622,29.0,37.0,226.0,268.0,56.0,4.0,2.0,0.0,0.0
E01000035,Barking and Dagenham ,597,1.0,63.0,151.0,86.0,279.0,16.0,1.0,0.0,0.0
E01000036,Barking and Dagenham ,471,0.0,15.0,84.0,105.0,251.0,9.0,3.0,2.0,2.0
E01000107,Barking and Dagenham ,602,2.0,21.0,117.0,193.0,248.0,13.0,3.0,3.0,2.0
E01000108,Barking and Dagenham ,685,45.0,85.0,166.0,197.0,175.0,16.0,1.0,0.0,0.0
E01000066,Barking and Dagenham ,708,20.0,87.0,119.0,111.0,329.0,22.0,12.0,5.0,3.0
E01000067,Barking and Dagenham ,660,2.0,51.0,162.0,39.0,367.0,26.0,5.0,4.0,4.0
E01000069,Barking and Dagenham ,536,0.0,5.0,16.0,39.0,405.0,50.0,10.0,7.0,4.0
E01000070,Barking and Dagenham ,575,5.0,18.0,60.0,47.0,341.0,73.0,19.0,7.0,5.0
E01000071,Barking and Dagenham ,806,0.0,108.0,170.0,106.0,364.0,35.0,11.0,9.0,3.0
E01000057,Barking and Dagenham ,527,3.0,18.0,242.0,211.0,51.0,1.0,1.0,0.0,0.0
E01000073,Barking and Dagenham ,663,0.0,43.0,281.0,282.0,47.0,7.0,2.0,1.0,0.0
E01000074,Barking and Dagenham ,625,0.0,82.0,243.0,249.0,45.0,5.0,1.0,0.0,0.0
E01000075,Barking and Dagenham ,642,1.0,3.0,182.0,226.0,212.0,15.0,3.0,0.0,0.0
E01000076,Barking and Dagenham ,794,2.0,137.0,332.0,250.0,61.0,10.0,0.0,0.0,2.0
E01000013,Barking and Dagenham ,619,0.0,26.0,240.0,265.0,79.0,6.0,2.0,1.0,0.0
E01000014,Barking and Dagenham ,634,4.0,74.0,265.0,220.0,58.0,10.0,1.0,2.0,0.0
E01000059,Barking and Dagenham ,570,0.0,32.0,185.0,291.0,56.0,5.0,1.0,0.0,0.0
E01000084,Barking and Dagenham ,502,4.0,22.0,126.0,253.0,88.0,5.0,1.0,3.0,0.0
E01000085,Barking and Dagenham ,576,5.0,59.0,174.0,282.0,49.0,3.0,2.0,0.0,2.0
E01000086,Barking and Dagenham ,487,3.0,12.0,139.0,232.0,98.0,1.0,2.0,0.0,0.0
E01000103,Barking and Dagenham ,530,0.0,23.0,82.0,77.0,325.0,21.0,0.0,1.0,1.0
E01000104,Barking and Dagenham ,696,0.0,208.0,133.0,226.0,112.0,13.0,3.0,1.0,0.0
E01000105,Barking and Dagenham ,937,15.0,253.0,431.0,181.0,44.0,8.0,2.0,3.0,0.0
E01000106,Barking and Dagenham ,872,18.0,307.0,253.0,145.0,139.0,6.0,1.0,1.0,2.0
E01000007,Barking and Dagenham ,1192,77.0,404.0,452.0,191.0,43.0,19.0,2.0,2.0,2.0
E01000008,Barking and Dagenham ,551,0.0,155.0,79.0,281.0,24.0,12.0,0.0,0.0,0.0
E01000012,Barking and Dagenham ,784,2.0,204.0,367.0,122.0,84.0,4.0,1.0,0.0,0.0
E01034473,Barking and Dagenham ,424,2.0,124.0,111.0,54.0,121.0,9.0,3.0,0.0,0.0
E01034474,Barking and Dagenham ,864,1.0,428.0,307.0,107.0,19.0,1.0,1.0,0.0,0.0
E01000006,Barking and Dagenham ,554,6.0,90.0,62.0,61.0,304.0,20.0,6.0,4.0,1.0
E01000009,Barking and Dagenham ,601,1.0,244.0,50.0,68.0,212.0,18.0,2.0,6.0,0.0
E01000011,Barking and Dagenham ,472,3.0,73.0,47.0,84.0,210.0,43.0,7.0,4.0,1.0
E01000044,Barking and Dagenham ,661,0.0,36.0,173.0,221.0,214.0,12.0,4.0,1.0,0.0
E01000068,Barking and Dagenham ,478,1.0,27.0,39.0,53.0,267.0,67.0,7.0,10.0,7.0
E01000041,Barking and Dagenham ,602,2.0,16.0,236.0,266.0,78.0,2.0,2.0,0.0,0.0
E01000042,Barking and Dagenham ,655,0.0,120.0,253.0,217.0,54.0,7.0,0.0,4.0,0.0
E01000045,Barking and Dagenham ,577,0.0,31.0,268.0,211.0,63.0,4.0,0.0,0.0,0.0
E01000046,Barking and Dagenham ,661,0.0,58.0,262.0,252.0,78.0,7.0,4.0,0.0,0.0
E01000072,Barking and Dagenham ,739,2.0,109.0,292.0,267.0,54.0,13.0,0.0,1.0,1.0
E01000054,Barking and Dagenham ,642,6.0,25.0,288.0,252.0,65.0,3.0,3.0,0.0,0.0
E01000055,Barking and Dagenham ,568,1.0,26.0,207.0,273.0,59.0,2.0,0.0,0.0,0.0
E01000056,Barking and Dagenham ,563,0.0,30.0,243.0,244.0,39.0,4.0,2.0,0.0,1.0
E01000058,Barking and Dagenham ,699,0.0,35.0,316.0,256.0,62.0,11.0,18.0,1.0,0.0
E01000095,Barking and Dagenham ,735,0.0,32.0,298.0,268.0,84.0,50.0,2.0,0.0,1.0
E01000040,Barking and Dagenham ,656,0.0,118.0,304.0,179.0,47.0,4.0,0.0,4.0,0.0
E01000043,Barking and Dagenham ,471,0.0,26.0,60.0,87.0,284.0,8.0,5.0,0.0,1.0
E01000050,Barking and Dagenham ,633,9.0,118.0,200.0,93.0,195.0,11.0,3.0,2.0,2.0
E01000052,Barking and Dagenham ,795,9.0,81.0,250.0,260.0,182.0,11.0,0.0,2.0,0.0
E01034475,Barking and Dagenham ,587,0.0,96.0,70.0,190.0,200.0,27.0,2.0,0.0,2.0
E01034476,Barking and Dagenham ,512,0.0,52.0,142.0,166.0,137.0,15.0,0.0,0.0,0.0
E01034477,Barking and Dagenham ,550,0.0,127.0,261.0,126.0,26.0,10.0,0.0,0.0,0.0
E01034478,Barking and Dagenham ,472,1.0,118.0,239.0,73.0,39.0,1.0,1.0,0.0,0.0
E01000053,Barking and Dagenham ,651,7.0,202.0,222.0,148.0,62.0,4.0,4.0,0.0,2.0
E01000087,Barking and Dagenham ,519,2.0,28.0,120.0,257.0,104.0,4.0,1.0,1.0,2.0
E01000088,Barking and Dagenham ,602,0.0,36.0,107.0,287.0,165.0,4.0,3.0,0.0,0.0
E01000089,Barking and Dagenham ,601,0.0,38.0,34.0,447.0,74.0,6.0,2.0,0.0,0.0
E01000090,Barking and Dagenham ,557,0.0,57.0,28.0,298.0,168.0,3.0,3.0,0.0,0.0
E01000049,Barking and Dagenham ,575,0.0,102.0,216.0,223.0,29.0,3.0,0.0,1.0,1.0
E01000051,Barking and Dagenham ,431,20.0,128.0,197.0,50.0,32.0,3.0,0.0,0.0,1.0
E01033587,Barking and Dagenham ,1040,5.0,396.0,519.0,100.0,15.0,5.0,0.0,0.0,0.0
E01034479,Barking and Dagenham ,749,1.0,194.0,397.0,141.0,16.0,0.0,0.0,0.0,0.0
E01000091,Barking and Dagenham ,672,25.0,156.0,135.0,205.0,125.0,23.0,1.0,1.0,1.0
E01000093,Barking and Dagenham ,664,1.0,256.0,111.0,164.0,104.0,24.0,2.0,1.0,1.0
E01000094,Barking and Dagenham ,843,20.0,134.0,383.0,167.0,138.0,1.0,0.0,0.0,0.0
E01000096,Barking and Dagenham ,483,2.0,39.0,127.0,257.0,54.0,2.0,0.0,1.0,1.0
E01000019,Barking and Dagenham ,500,1.0,22.0,79.0,261.0,105.0,29.0,1.0,1.0,1.0
E01000020,Barking and Dagenham ,663,3.0,91.0,93.0,363.0,97.0,12.0,3.0,0.0,1.0
E01000097,Barking and Dagenham ,685,2.0,105.0,249.0,214.0,100.0,9.0,1.0,2.0,3.0
