LSOA01CD,LA CODE,LA NAME,GOR CODE,GOR NAME,IMD SCORE,RANK OF IMD SCORE (where 1 is most deprived)
E01000001,00AA,City of London,H,London,6.161637,28814
E01000002,00AA,City of London,H,London,5.585054,29450
E01000003,00AA,City of London,H,London,13.29292,20047
E01000004,00AA,City of London,H,London,11.17135,22503
E01000005,00AA,City of London,H,London,21.36466,12978
E01000006,00AB,Barking and Dagenham,H,London,17.07765,16410
E01000007,00AB,Barking and Dagenham,H,London,37.23528,5438
E01000008,00AB,Barking and Dagenham,H,London,45.21677,3172
E01000009,00AB,Barking and Dagenham,H,London,29.41356,8462
E01000010,00AB,Barking and Dagenham,H,London,38.44798,5038
E01000011,00AB,Barking and Dagenham,H,London,29.48219,8421
E01000012,00AB,Barking and Dagenham,H,London,37.34236,5400
E01000013,00AB,Barking and Dagenham,H,London,39.79677,4626
E01000014,00AB,Barking and Dagenham,H,London,37.83172,5235
E01000015,00AB,Barking and Dagenham,H,London,38.81102,4926
E01000016,00AB,Barking and Dagenham,H,London,31.64162,7495
E01000017,00AB,Barking and Dagenham,H,London,35.34124,6099
E01000018,00AB,Barking and Dagenham,H,London,32.63291,7073
E01000019,00AB,Barking and Dagenham,H,London,32.84567,6993
E01000020,00AB,Barking and Dagenham,H,London,34.19407,6486
E01000021,00AB,Barking and Dagenham,H,London,34.03406,6542
E01000022,00AB,Barking and Dagenham,H,London,28.61592,8839
E01000023,00AB,Barking and Dagenham,H,London,23.90313,11340
E01000024,00AB,Barking and Dagenham,H,London,29.29695,8512
E01000025,00AB,Barking and Dagenham,H,London,32.73026,7034
E01000026,00AB,Barking and Dagenham,H,London,36.55052,5669
E01000027,00AB,Barking and Dagenham,H,London,49.15488,2355
E01000028,00AB,Barking and Dagenham,H,London,43.01204,3695
E01000029,00AB,Barking and Dagenham,H,London,26.83182,9710
E01000030,00AB,Barking and Dagenham,H,London,52.51403,1773
E01000031,00AB,Barking and Dagenham,H,London,26.75188,9754
E01000032,00AB,Barking and Dagenham,H,London,29.60314,8363
E01000033,00AB,Barking and Dagenham,H,London,40.95349,4274
E01000034,00AB,Barking and Dagenham,H,London,31.39992,7596
E01000035,00AB,Barking and Dagenham,H,London,28.15418,9045
E01000036,00AB,Barking and Dagenham,H,London,21.53277,12845
E01000037,00AB,Barking and Dagenham,H,London,22.27847,12349
E01000038,00AB,Barking and Dagenham,H,London,18.87062,14866
E01000039,00AB,Barking and Dagenham,H,London,18.38512,15265
E01000040,00AB,Barking and Dagenham,H,London,38.8672,4909
E01000041,00AB,Barking and Dagenham,H,London,32.8611,6985
E01000042,00AB,Barking and Dagenham,H,London,39.48766,4715
E01000043,00AB,Barking and Dagenham,H,London,32.93694,6958
E01000044,00AB,Barking and Dagenham,H,London,31.9693,7359
E01000045,00AB,Barking and Dagenham,H,London,40.11685,4529
E01000046,00AB,Barking and Dagenham,H,London,28.92122,8690
E01000047,00AB,Barking and Dagenham,H,London,41.65725,4069
E01000048,00AB,Barking and Dagenham,H,London,55.47113,1338
E01000049,00AB,Barking and Dagenham,H,London,44.55569,3328
E01000050,00AB,Barking and Dagenham,H,London,34.64766,6339
E01000051,00AB,Barking and Dagenham,H,London,53.89508,1557
E01000052,00AB,Barking and Dagenham,H,London,29.23539,8534
E01000053,00AB,Barking and Dagenham,H,London,32.75126,7023
E01000054,00AB,Barking and Dagenham,H,London,29.76774,8295
E01000055,00AB,Barking and Dagenham,H,London,29.70741,8317
E01000056,00AB,Barking and Dagenham,H,London,37.70879,5285
E01000057,00AB,Barking and Dagenham,H,London,38.85528,4910
E01000058,00AB,Barking and Dagenham,H,London,37.36129,5393
E01000059,00AB,Barking and Dagenham,H,London,34.54724,6376
E01000060,00AB,Barking and Dagenham,H,London,42.00382,3969
E01000061,00AB,Barking and Dagenham,H,London,51.25674,1959
E01000062,00AB,Barking and Dagenham,H,London,33.29422,6806
E01000063,00AB,Barking and Dagenham,H,London,33.92427,6578
E01000064,00AB,Barking and Dagenham,H,London,35.19343,6151
E01000065,00AB,Barking and Dagenham,H,London,36.5953,5654
E01000066,00AB,Barking and Dagenham,H,London,25.4217,10437
E01000067,00AB,Barking and Dagenham,H,London,23.07328,11857
E01000068,00AB,Barking and Dagenham,H,London,23.35151,11683
E01000069,00AB,Barking and Dagenham,H,London,15.88051,17446
E01000070,00AB,Barking and Dagenham,H,London,20.4236,13683
E01000071,00AB,Barking and Dagenham,H,London,16.91136,16553
