LSOA21CD,Number of sales 2011_weighted,Number of sales 2021_weighted
E01000001,141.0,123.0
E01000002,233.0,144.0
E01000003,168.0,95.0
E01000005,41.0,10.0
E01000006,44.0,58.0
E01000007,6.0,383.0
E01000008,23.0,15.0
E01000009,38.0,35.0
E01000011,37.0,35.0
E01000012,42.0,46.0
E01000013,41.0,48.0
E01000014,64.0,56.0
E01000015,52.0,65.0
E01000016,41.0,52.0
E01000017,32.0,55.0
E01000018,35.0,51.0
E01000019,61.0,66.0
E01000020,47.0,44.0
E01000021,27.0,41.0
E01000022,31.0,37.0
E01000024,27.0,43.0
E01000025,42.0,45.0
E01000027,39.0,57.0
E01000028,35.0,33.0
E01000029,104.0,117.0
E01000030,39.0,55.0
E01000031,42.0,68.0
E01000032,44.0,90.0
E01000033,32.0,38.0
E01000034,42.0,32.0
E01000035,39.0,50.0
E01000036,42.0,37.0
E01000037,78.0,122.0
E01000038,65.0,98.0
E01000039,89.0,114.0
E01000040,44.0,39.0
E01000041,44.0,59.0
E01000042,45.0,40.0
E01000043,22.0,21.0
E01000044,41.0,47.0
E01000045,25.0,55.0
E01000046,56.0,65.0
E01000049,16.0,10.0
E01000050,41.0,31.0
E01000051,14.0,10.0
E01000052,72.0,71.0
E01000053,30.0,37.0
E01000054,43.0,51.0
E01000055,27.0,37.0
E01000056,35.0,35.0
E01000057,14.0,46.0
E01000058,39.0,59.0
E01000059,35.0,48.0
E01000060,46.0,67.0
E01000061,5.0,16.0
E01000062,49.0,48.0
E01000063,30.0,71.0
E01000064,208.0,69.0
E01000065,54.0,66.0
E01000066,62.0,79.0
E01000067,69.0,52.0
E01000068,52.0,44.0
E01000069,44.0,62.0
E01000070,67.0,42.0
E01000071,113.0,76.0
E01000072,24.0,36.0
E01000073,52.0,59.0
E01000074,45.0,47.0
E01000075,37.0,47.0
E01000076,45.0,45.0
E01000077,33.0,20.0
E01000078,30.0,67.0
E01000079,43.0,48.0
E01000080,45.0,72.0
E01000081,31.0,94.0
E01000082,43.0,53.0
E01000083,38.0,58.0
E01000084,25.0,42.0
E01000085,38.0,38.0
E01000086,22.0,37.0
E01000087,39.0,38.0
E01000088,61.0,80.0
E01000089,49.0,72.0
E01000090,45.0,45.0
E01000091,35.0,28.0
E01000093,30.0,32.0
E01000094,32.0,115.0
E01000095,39.0,100.0
E01000096,18.0,25.0
E01000097,52.0,47.0
E01000098,49.0,40.0
E01000099,184.0,70.0
E01000100,35.0,44.0
E01000101,70.0,79.0
E01000102,59.0,97.0
E01000103,20.0,46.0
E01000104,26.0,44.0
E01000105,29.0,78.0
E01000106,26.0,76.0
E01000107,65.0,81.0
E01000108,62.0,85.0
E01000110,59.0,74.0
E01000111,77.0,44.0
E01000112,65.0,78.0
E01000113,77.0,32.0
E01000114,84.0,69.0
E01000115,47.0,100.0
E01000116,88.0,78.0
E01000117,98.0,131.0
E01000118,101.0,121.0
E01000119,57.0,54.0
E01000120,38.0,51.0
E01000121,16.0,43.0
E01000122,64.0,66.0
E01000123,93.0,121.0
E01000124,41.0,58.0
E01000126,21.0,29.0
E01000127,34.0,43.0
E01000128,47.0,33.0
E01000129,10.0,12.0
E01000130,52.0,31.0
E01000131,59.0,50.0
E01000132,29.0,42.0
E01000133,29.0,32.0
E01000134,45.0,40.0
E01000135,168.0,85.0
E01000136,77.0,100.0
E01000137,75.0,39.0
E01000138,44.0,54.0
E01000139,76.0,60.0
E01000140,100.0,153.0
E01000141,50.0,50.0
E01000142,138.0,84.0
E01000143,32.0,17.0
E01000144,69.0,45.0
E01000145,38.0,40.0
E01000146,59.0,66.0
E01000147,20.0,50.0
E01000150,86.0,59.0
E01000151,11.0,9.0
E01000152,10.0,64.0
E01000153,24.0,15.0
E01000154,20.0,38.0
E01000156,102.0,98.0
E01000157,95.0,81.0
E01000158,90.0,62.0
E01000159,113.0,56.0
E01000160,157.0,100.0
E01000161,106.0,102.0
E01000162,54.0,31.0
E01000163,51.0,47.0
E01000164,70.0,45.0
E01000165,76.0,76.0
E01000166,81.0,77.0
E01000167,28.0,62.0
E01000168,79.0,81.0
E01000169,87.0,132.0
E01000170,87.0,95.0
E01000171,114.0,106.0
E01000172,72.0,112.0
E01000173,36.0,107.0
E01000174,106.0,68.0
E01000175,82.0,106.0
E01000176,61.0,14.0
E01000177,108.0,103.0
E01000178,96.0,105.0
E01000179,111.0,159.0
E01000180,59.0,61.0
E01000181,80.0,94.0
E01000182,118.0,94.0
E01000183,71.0,79.0
E01000184,45.0,69.0
E01000185,30.0,43.0
E01000186,44.0,58.0
E01000187,55.0,71.0
E01000188,48.0,43.0
E01000189,110.0,116.0
E01000190,69.0,64.0
E01000191,67.0,96.0
E01000192,77.0,65.0
E01000193,84.0,94.0
E01000194,66.0,49.0
E01000195,113.0,58.0
E01000196,81.0,85.0
E01000197,58.0,53.0
E01000198,109.0,105.0
E01000199,104.0,102.0
E01000200,121.0,132.0
E01000201,75.0,56.0
E01000202,83.0,83.0
E01000203,67.0,80.0
E01000204,66.0,125.0
E01000205,108.0,126.0
E01000206,59.0,64.0
E01000207,93.0,66.0
E01000208,61.0,70.0
E01000209,115.0,127.0
E01000210,101.0,111.0
E01000211,136.0,110.0
E01000212,34.0,45.0
E01000213,57.0,52.0
E01000214,129.0,95.0
E01000215,57.0,56.0
E01000216,76.0,45.0
E01000217,41.0,35.0
E01000218,45.0,32.0
E01000219,34.0,55.0
E01000220,29.0,19.0
E01000221,19.0,12.0
E01000222,59.0,51.0
E01000223,41.0,18.0
E01000224,42.0,27.0
E01000225,95.0,45.0
E01000226,41.0,46.0
E01000227,62.0,94.0
E01000228,46.0,61.0
E01000229,47.0,70.0
E01000230,93.0,102.0
E01000231,65.0,73.0
E01000232,65.0,106.0
E01000233,102.0,124.0
E01000234,88.0,131.0
E01000235,39.0,48.0
E01000236,99.0,78.0
E01000237,57.0,55.0
E01000238,78.0,85.0
E01000239,74.0,88.0
E01000240,67.0,51.0
E01000241,114.0,96.0
E01000242,102.0,79.0
E01000243,105.0,93.0
E01000244,61.0,26.0
E01000245,104.0,25.0
E01000246,89.0,151.0
E01000247,102.0,96.0
E01000248,101.0,78.0
E01000249,65.0,94.0
E01000250,180.0,178.0
E01000251,147.0,143.0
E01000252,112.0,92.0
E01000253,96.0,171.0
E01000254,93.0,154.0
E01000255,70.0,117.0
E01000256,109.0,85.0
E01000257,86.0,750.0
E01000258,85.0,126.0
E01000259,115.0,149.0
E01000260,140.0,139.0
E01000261,129.0,110.0
E01000263,86.0,92.0
E01000264,83.0,69.0
E01000265,112.0,77.0
E01000266,57.0,84.0
E01000267,85.0,82.0
E01000268,108.0,129.0
E01000269,65.0,67.0
E01000270,91.0,128.0
E01000271,96.0,101.0
E01000272,53.0,82.0
E01000273,52.0,60.0
E01000274,63.0,100.0
E01000275,106.0,121.0
E01000276,55.0,59.0
E01000277,76.0,110.0
E01000278,50.0,45.0
E01000279,64.0,87.0
E01000280,70.0,70.0
E01000281,38.0,213.0
E01000282,119.0,119.0
E01000283,62.0,58.0
E01000284,107.0,173.0
E01000285,74.0,101.0
E01000286,86.0,64.0
E01000287,54.0,65.0
E01000288,45.0,83.0
E01000289,35.0,23.0
E01000290,79.0,59.0
E01000291,35.0,69.0
E01000292,78.0,121.0
E01000293,59.0,90.0
E01000294,59.0,73.0
E01000295,61.0,106.0
E01000296,74.0,57.0
E01000297,64.0,79.0
E01000298,91.0,98.0
E01000299,104.0,76.0
E01000300,87.0,118.0
E01000301,58.0,72.0
E01000302,69.0,65.0
E01000303,62.0,92.0
E01000304,76.0,87.0
E01000305,62.0,111.0
E01000306,64.0,52.0
E01000307,49.0,45.0
E01000308,56.0,93.0
E01000309,78.0,59.0
E01000310,81.0,51.0
E01000311,72.0,56.0
E01000312,67.0,73.0
E01000313,68.0,61.0
E01000314,66.0,49.0
E01000315,31.0,37.0
E01000316,100.0,114.0
E01000317,73.0,93.0
E01000318,50.0,88.0
E01000319,53.0,81.0
E01000320,73.0,108.0
E01000321,65.0,71.0
