Local authority code,Local authority name,LSOA11CD,LSOA name,Number of sales 2011,Number of sales 2021
E09000001,City of London,E01000001,City of London 001A,141,123
E09000001,City of London,E01000002,City of London 001B,233,144
E09000001,City of London,E01000003,City of London 001C,168,95
E09000001,City of London,E01000005,City of London 001E,41,10
E09000001,City of London,E01032739,City of London 001F,250,107
E09000001,City of London,E01032740,City of London 001G,151,178
E09000002,Barking and Dagenham,E01000006,Barking and Dagenham 016A,44,58
E09000002,Barking and Dagenham,E01000007,Barking and Dagenham 015A,6,383
E09000002,Barking and Dagenham,E01000008,Barking and Dagenham 015B,23,15
E09000002,Barking and Dagenham,E01000009,Barking and Dagenham 016B,38,35
E09000002,Barking and Dagenham,E01000010,Barking and Dagenham 015C,339,123
E09000002,Barking and Dagenham,E01000011,Barking and Dagenham 016C,37,35
E09000002,Barking and Dagenham,E01000012,Barking and Dagenham 015D,42,46
E09000002,Barking and Dagenham,E01000013,Barking and Dagenham 013A,41,48
E09000002,Barking and Dagenham,E01000014,Barking and Dagenham 013B,64,56
E09000002,Barking and Dagenham,E01000015,Barking and Dagenham 009A,52,65
E09000002,Barking and Dagenham,E01000016,Barking and Dagenham 009B,41,52
E09000002,Barking and Dagenham,E01000017,Barking and Dagenham 009C,32,55
E09000002,Barking and Dagenham,E01000018,Barking and Dagenham 009D,35,51
E09000002,Barking and Dagenham,E01000019,Barking and Dagenham 023A,61,66
E09000002,Barking and Dagenham,E01000020,Barking and Dagenham 023B,47,44
E09000002,Barking and Dagenham,E01000021,Barking and Dagenham 008A,27,41
E09000002,Barking and Dagenham,E01000022,Barking and Dagenham 008B,31,37
E09000002,Barking and Dagenham,E01000023,Barking and Dagenham 008C,524,53
E09000002,Barking and Dagenham,E01000024,Barking and Dagenham 008D,27,43
E09000002,Barking and Dagenham,E01000025,Barking and Dagenham 008E,42,45
E09000002,Barking and Dagenham,E01000027,Barking and Dagenham 001A,39,57
E09000002,Barking and Dagenham,E01000028,Barking and Dagenham 001B,35,33
E09000002,Barking and Dagenham,E01000029,Barking and Dagenham 001C,104,117
E09000002,Barking and Dagenham,E01000030,Barking and Dagenham 001D,39,55
E09000002,Barking and Dagenham,E01000031,Barking and Dagenham 002A,42,68
E09000002,Barking and Dagenham,E01000032,Barking and Dagenham 002B,44,90
E09000002,Barking and Dagenham,E01000033,Barking and Dagenham 006A,32,38
E09000002,Barking and Dagenham,E01000034,Barking and Dagenham 003A,42,32
E09000002,Barking and Dagenham,E01000035,Barking and Dagenham 010A,39,50
E09000002,Barking and Dagenham,E01000036,Barking and Dagenham 010B,42,37
E09000002,Barking and Dagenham,E01000037,Barking and Dagenham 003B,78,122
E09000002,Barking and Dagenham,E01000038,Barking and Dagenham 003C,65,98
E09000002,Barking and Dagenham,E01000039,Barking and Dagenham 003D,89,114
E09000002,Barking and Dagenham,E01000040,Barking and Dagenham 019A,44,39
E09000002,Barking and Dagenham,E01000041,Barking and Dagenham 017A,44,59
E09000002,Barking and Dagenham,E01000042,Barking and Dagenham 017B,45,40
E09000002,Barking and Dagenham,E01000043,Barking and Dagenham 019B,22,21
E09000002,Barking and Dagenham,E01000044,Barking and Dagenham 016D,41,47
E09000002,Barking and Dagenham,E01000045,Barking and Dagenham 017C,25,55
E09000002,Barking and Dagenham,E01000046,Barking and Dagenham 017D,56,65
E09000002,Barking and Dagenham,E01000048,Barking and Dagenham 021B,7,3
E09000002,Barking and Dagenham,E01000049,Barking and Dagenham 021C,16,10
E09000002,Barking and Dagenham,E01000050,Barking and Dagenham 019C,41,31
E09000002,Barking and Dagenham,E01000051,Barking and Dagenham 021D,14,10
E09000002,Barking and Dagenham,E01000052,Barking and Dagenham 019D,72,71
E09000002,Barking and Dagenham,E01000053,Barking and Dagenham 020A,30,37
E09000002,Barking and Dagenham,E01000054,Barking and Dagenham 018A,43,51
E09000002,Barking and Dagenham,E01000055,Barking and Dagenham 018B,27,37
E09000002,Barking and Dagenham,E01000056,Barking and Dagenham 018C,35,35
E09000002,Barking and Dagenham,E01000057,Barking and Dagenham 012A,14,46
E09000002,Barking and Dagenham,E01000058,Barking and Dagenham 018D,39,59
E09000002,Barking and Dagenham,E01000059,Barking and Dagenham 013C,35,48
E09000002,Barking and Dagenham,E01000060,Barking and Dagenham 006B,46,67
E09000002,Barking and Dagenham,E01000061,Barking and Dagenham 006C,5,16
E09000002,Barking and Dagenham,E01000062,Barking and Dagenham 006D,49,48
E09000002,Barking and Dagenham,E01000063,Barking and Dagenham 004A,30,71
E09000002,Barking and Dagenham,E01000064,Barking and Dagenham 006E,208,69
E09000002,Barking and Dagenham,E01000065,Barking and Dagenham 007A,54,66
E09000002,Barking and Dagenham,E01000066,Barking and Dagenham 011A,62,79
E09000002,Barking and Dagenham,E01000067,Barking and Dagenham 011B,69,52
E09000002,Barking and Dagenham,E01000068,Barking and Dagenham 016E,52,44
E09000002,Barking and Dagenham,E01000069,Barking and Dagenham 011C,44,62
E09000002,Barking and Dagenham,E01000070,Barking and Dagenham 011D,67,42
E09000002,Barking and Dagenham,E01000071,Barking and Dagenham 011E,113,76
E09000002,Barking and Dagenham,E01000072,Barking and Dagenham 017E,24,36
E09000002,Barking and Dagenham,E01000073,Barking and Dagenham 012B,52,59
E09000002,Barking and Dagenham,E01000074,Barking and Dagenham 012C,45,47
E09000002,Barking and Dagenham,E01000075,Barking and Dagenham 012D,37,47
E09000002,Barking and Dagenham,E01000076,Barking and Dagenham 012E,45,45
E09000002,Barking and Dagenham,E01000077,Barking and Dagenham 008F,33,20
E09000002,Barking and Dagenham,E01000078,Barking and Dagenham 007B,30,67
E09000002,Barking and Dagenham,E01000079,Barking and Dagenham 009E,43,48
E09000002,Barking and Dagenham,E01000080,Barking and Dagenham 007C,45,72
E09000002,Barking and Dagenham,E01000081,Barking and Dagenham 007D,31,94
E09000002,Barking and Dagenham,E01000082,Barking and Dagenham 007E,43,53
E09000002,Barking and Dagenham,E01000083,Barking and Dagenham 007F,38,58
E09000002,Barking and Dagenham,E01000084,Barking and Dagenham 013D,25,42
E09000002,Barking and Dagenham,E01000085,Barking and Dagenham 013E,38,38
E09000002,Barking and Dagenham,E01000086,Barking and Dagenham 013F,22,37
E09000002,Barking and Dagenham,E01000087,Barking and Dagenham 020B,39,38
E09000002,Barking and Dagenham,E01000088,Barking and Dagenham 020C,61,80
E09000002,Barking and Dagenham,E01000089,Barking and Dagenham 020D,49,72
E09000002,Barking and Dagenham,E01000090,Barking and Dagenham 020E,45,45
E09000002,Barking and Dagenham,E01000091,Barking and Dagenham 022A,35,28
E09000002,Barking and Dagenham,E01000092,Barking and Dagenham 019E,48,197
